r,Nesar,28,,32.81768,50.424258
ir,neshu,Neshu,35,,36.370245,51.861191
ir,neshvah,Neshvah,34,,35.2026,50.201
ir,nesparan,Nesparan,04,,26.3589,59.8468
ir,nesporan,Nesporan,04,,26.3589,59.8468
ir,nespuran,Nespuran,04,,26.3589,59.8468
ir,nesra kola,Nesra Kola,35,,36.625233,52.600828
ir,nestan,Nestan,01,,36.2839,45.6302
ir,nesya-ye bala,Nesya-ye Bala,29,,28.853611,58.246944
ir,netala,Netala,35,,36.618939,53.820138
ir,netal,Netal,35,,36.291166,51.734865
ir,netche,Netche,16,,35.6532,46.1247
ir,neva,Neva,35,,35.854445,52.210968
ir,nevergan,Nevergan,11,,27.5256,57.0147
ir,nevis,Nevis,39,,34.727905,50.197679
ir,new shurijah,New Shurijah,42,,36.002034,60.970233
ir,neyabad,Neyabad,16,,35.1059,47.4245
ir,ney ab,Ney Ab,05,,31.054043,50.229377
ir,neyab,Neyab,41,,32.404167,59.751111
ir,ney ahmad beyg,Ney Ahmad Beyg,32,,37.7068,48.4218
ir,neyakan,Neyakan,03,,32.559318,50.134823
ir,neyak-e bala,Neyak-e Bala,26,,35.5524,51.7901
ir,neyak-e jadid,Neyak-e Jadid,26,,35.5358,51.7876
ir,neyak-e pa'in,Neyak-e Pa'in,26,,35.5358,51.7876
ir,neyak,Neyak,26,,35.5524,51.7901
ir,neyak,Neyak,35,,35.87262,52.188805
ir,neyaku,Neyaku,08,,37.242257,49.951251
ir,neyala,Neyala,35,,36.618939,53.820138
ir,neyamkan,Neyamkan,04,,26.3132,59.434
ir,neyam zand,Neyam Zand,04,,26.405833,60.234722
ir,neyanj,Neyanj,09,,35.3486,48.9173
ir,neyan,Neyan,11,,27.5496,56.8283
ir,neyan,Neyan,42,,34.423958,57.966869
ir,neyaq,Neyaq,33,,38.8175,47.312
ir,neyarak,Neyarak,38,,36.5196,49.4178
ir,neyaraq,Neyaraq,32,,38.2678,48.632
ir,neyarij,Neyarij,38,,35.6717,49.0828
ir,neyar,Neyar,04,,27.933056,59.331389
ir,neyar,Neyar,09,,35.2884,49.0473
ir,neyar,Neyar,11,,28.3884,55.9055
ir,neyar,Neyar,16,,35.1053,46.723
ir,neyasar,Neyasar,28,,33.9729,51.1489
ir,neyastanak,Neyastanak,29,,30.529075,55.101522
ir,neyastan,Neyastan,40,,29.924,54.1385
ir,neyavaran,Neyavaran,26,,35.816944,51.472778
ir,neyavol,Neyavol,08,,36.906579,49.974603
ir,neya-ye pa'in,Neya-ye Pa'in,29,,28.798611,58.291111
ir,neyazabad,Neyazabad,23,,33.8559,48.1778
ir,neyazabad,Neyazabad,42,,34.230901,60.244396
ir,neyaz bolagh,Neyaz Bolagh,16,,35.4794,47.8876
ir,neyazi,Neyazi,42,,36.516667,60.25
ir,neyaz,Neyaz,16,,35.4145,47.5171
ir,ney baghi,Ney Baghi,33,,37.7341,47.9299
ir,neybahan,Neybahan,13,,33.85,45.633333
ir,ney band,Ney Band,16,,35.2124,48.0755
ir,neyband,Neyband,22,,27.401,52.6192
ir,ney band,Ney Band,40,,32.386667,57.528333
ir,neyban,Neyban,40,,32.386667,57.528333
ir,ney bid,Ney Bid,29,,29.6997,57.6299
ir,neychalan,Neychalan,01,,37.684,44.7504
ir,neycharan,Neycharan,33,,38.3545,46.6083
ir,ney dan,Ney Dan,07,,30.172964,51.651591
ir,neydar,Neydar,16,,34.9818,47.2409
ir,ney dar,Ney Dar,16,,34.9818,47.2409
ir,ney dar,Ney Dar,42,,35.346079,60.311761
ir,ney dasht,Ney Dasht,08,,36.76227,50.363769
ir,neydasht,Neydasht,35,,36.905118,50.599905
ir,neydovand,Neydovand,15,,32.4464,49.1682
ir,ney dowvand,Ney Dowvand,15,,32.4464,49.1682
ir,neyduleh,Neyduleh,10,,33.6328,46.9496
ir,neyduleh-ye `olya,Neyduleh-ye `Olya,10,,33.6352,46.9279
ir,ney duleh-ye `olya,Ney Duleh-ye `Olya,10,,33.6352,46.9279
ir,neyduleh-ye sofla,Neyduleh-ye Sofla,10,,33.6328,46.9496
ir,ney duleh-ye sofla,Ney Duleh-ye Sofla,10,,33.6328,46.9496
ir,neyeh,Neyeh,28,,33.345652,51.869675
ir,neyer,Neyer,16,,35.1053,46.723
ir,neyestanak,Neyestanak,28,,32.9692,52.8003
ir,neyestanak,Neyestanak,29,,30.529444,55.101944
ir,neyestanak,Neyestanak,41,,32.872827,58.784418
ir,neyestanak,Neyestanak,42,,36.816667,58.35
ir,neyestaneh,Neyestaneh,13,,35.1546,46.1909
ir,neyestaneh,Neyestaneh,43,,37.307222,57.230556
ir,neyestan-fannuj,Neyestan-Fannuj,29,,28.664444,58.321111
ir,neyestan,Neyestan,01,,36.2839,45.6302
ir,neyestan,Neyestan,29,,28.664444,58.321111
ir,neyestan,Neyestan,34,,33.879927,49.742118
ir,neyestan,Neyestan,40,,29.924,54.1385
ir,neyestan,Neyestan,41,,33.025828,59.387906
ir,neyestan,Neyestan,42,,36.591576,59.27306
ir,neygah,Neygah,23,,33.0279,48.9365
ir,neygenan,Neygenan,42,,34.301855,57.351917
ir,neygerd,Neygerd,04,,30.8881,61.417
ir,neyger,Neyger,04,,30.8836,61.4163
ir,ney gu,Ney Gu,29,,30.2372,55.4866
ir,neygu,Neygu,42,,33.794373,57.23401
ir,neyieh,Neyieh,39,,34.5387,50.5095
ir,neyjeh,Neyjeh,39,,34.5387,50.5095
ir,ney jeh,Ney Jeh,39,,34.5387,50.5095
ir,neyj,Neyj,41,,32.4132,59.6957
ir,ney kan,Ney Kan,05,,31.005171,49.996885
ir,neykhun,Neykhun,42,,33.908333,59.685278
ir,neyk,Neyk,41,,32.4132,59.6957
ir,neyk,Neyk,42,,33.542727,59.095326
ir,ney kola,Ney Kola,35,,36.611095,52.720303
ir,ney kuzleh,Ney Kuzleh,16,,35.75,46.466667
ir,neylak,Neylak,04,,28.4865,61.5072
ir,neylak,Neylak,13,,34.3019,46.4256
ir,neylaq,Neylaq,32,,37.7023,48.2013
ir,neyleh,Neyleh,23,,33.933333,47.533333
ir,neymhel,Neymhel,32,,37.255833,48.408611
ir,ney nardebam,Ney Nardebam,15,,31.8604,49.289
ir,ney nardeban,Ney Nardeban,15,,31.8604,49.289
ir,ney nardoban,Ney Nardoban,15,,31.8604,49.289
ir,neynava,Neynava,11,,28.0455,56.3535
ir,neyneh,Neyneh,34,,34.0259,50.5223
ir,ney,Ney,16,,35.4881,46.1266
ir,ney,Ney,32,,37.7068,48.4218
ir,neynizak,Neynizak,22,,29.1773,51.3091
ir,ney padan,Ney Padan,04,,27.855381,60.762134
ir,ney pahn-e `abdollah,Ney Pahn-e `Abdollah,13,,34.413954,45.624029
ir,ney pahn-e seyfollah,Ney Pahn-e Seyfollah,13,,34.408224,45.588495
ir,neypareh,Neypareh,15,,32.15,48.25
ir,ney pareh,Ney Pareh,15,,32.1582,49.2321
ir,neyrang,Neyrang,35,,36.622119,51.476283
ir,neyrazh-e `olya,Neyrazh-e `Olya,13,,34.6314,46.3471
ir,neyrazh-e sofla,Neyrazh-e Soflá,13,,34.634,46.3277
ir,neyriz,Neyriz,07,,27.7282,54.8731
ir,ney sabz,Ney Sabz,42,,35.256905,59.888353
ir,neysakabad,Neysakabad,01,,36.3568,45.4326
ir,neysan,Neysan,34,,33.879927,49.742118
ir,neysar,Neysar,16,,35.3268,47.0685
ir,neyseh anjireh,Neyseh Anjireh,05,,30.488423,51.420933
ir,neyseh,Neyseh,11,,28.0798,56.377
ir,ney seyah,Ney Seyah,15,,31.9866,48.7471
ir,neyshaburak,Neyshaburak,42,,36.462,60.3258
ir,neyshabur,Neyshabur,28,,33.547708,55.059173
ir,neyshabur,Neyshabur,42,220954,36.213288,58.795755
ir,ney shekar-e haft tappeh,Ney Shekar-e Haft Tappeh,15,,32.0712,48.3319
ir,ney siah,Ney Siah,15,,31.9811,48.7546
ir,neysian,Neysian,28,,32.9863,52.4693
ir,ney siyah,Ney Siyah,15,,31.9866,48.7471
ir,neysiyan,Neysiyan,28,,32.9863,52.4693
ir,neys,Neys,15,,32.216667,48.35
ir,neysoyan,Neysoyan,28,,32.9863,52.4693
ir,ney talkh,Ney Talkh,11,,28.2906,55.5064
ir,neytal,Neytal,35,,36.291166,51.734865
ir,ney tappeh,Ney Tappeh,37,,36.980079,54.743659
ir,neyukan,Neyukan,36,,37.1219,48.8628
ir,neyu khan,Neyu Khan,29,,29.8588,56.265
ir,neyuk,Neyuk,40,,32.0581,53.7477
ir,neyu,Neyu,29,,29.8587,56.284
ir,neyvu,Neyvu,29,,27.252222,57.763889
ir,neyyat chu,Neyyat Chu,28,,33.334,52.7865
ir,neyyat,Neyyat,42,,37.069407,58.380854
ir,neyzab,Neyzab,42,,35.257555,60.009101
ir,neyzal,Neyzal,16,,35.3636,46.4782
ir,neyzar-e `olya,Neyzar-e `Olya,15,,30.6836,49.3128
ir,neyzar-e sofla,Neyzar-e Sofla,15,,30.6842,49.3262
ir,neyzar,Neyzar,07,,28.5179,54.8053
ir,neyzar,Neyzar,11,,28.3884,55.9055
ir,neyzar,Neyzar,15,,30.6842,49.3262
ir,ney zar,Ney Zar,15,,30.369,50.2438
ir,ney zar,Ney Zar,25,,35.239278,54.413764
ir,neyzar,Neyzar,29,,30.618761,57.046865
ir,neyzar,Neyzar,39,,34.3088,50.5377
ir,neyzar,Neyzar,40,,34.203779,57.107255
ir,neyzar,Neyzar,42,,35.572715,59.844797
ir,neyzeh ab,Neyzeh Ab,41,,32.1293,60.2551
ir,neyzeh davan,Neyzeh Davan,15,,31.762222,49.753611
ir,neyzeh,Neyzeh,42,,36.306667,59.689167
ir,neyzeh rud-e kohneh,Neyzeh Rud-e Kohneh,16,,35.9694,45.7992
ir,neyzeh rud,Neyzeh Rud,16,,35.9615,45.8206
ir,neyzeh-ye `olya,Neyzeh-ye `Olya,01,,36.4114,45.4218
ir,neyzeh-ye sofla,Neyzeh-ye Soflá,01,,36.4128,45.4165
ir,neyzeh-ye vasat,Neyzeh-ye Vasat,01,,36.4079,45.4192
ir,neza`-e bozorg,Neza`-e Bozorg,07,,30.0417,50.9483
ir,neza`-e `olya,Neza`-e `Olya,07,,30.0417,50.9483
ir,nezamabad-e fareghan,Nezamabad-e Fareghan,11,,28.0318,56.3439
ir,nezamabad fareghan,Nezamabad Fareghan,11,,28.0318,56.3439
ir,nezamabad,Nezamabad,01,,36.9528,45.5266
ir,nezamabad,Nezamabad,07,,28.4665,55.0711
ir,nezamabad,Nezamabad,09,,35.3421,49.0856
ir,nezamabad,Nezamabad,11,,28.0318,56.3439
ir,nezamabad,Nezamabad,13,,34.4843,47.0532
ir,nezamabad,Nezamabad,23,,33.9,48.716667
ir,nezamabad,Nezamabad,25,,36.0814,54.3379
ir,nezamabad,Nezamabad,26,,35.5336,51.2766
ir,nezamabad,Nezamabad,29,,28.916,58.5502
ir,nezamabad,Nezamabad,34,,33.664,49.282
ir,nezamabad,Nezamabad,35,,36.433494,52.471471
ir,nezamabad,Nezamabad,36,,36.7184,48.3653
ir,nezamabad,Nezamabad,37,,37.139117,55.163854
ir,nezamabad,Nezamabad,38,,36.2928,49.8583
ir,nezamabad,Nezamabad,42,,35.358114,57.971385
ir,nezamabad,Nezamabad,43,,37.05,56.95
ir,nezamand,Nezamand,42,,33.300115,60.069075
ir,nezami,Nezami,25,,35.4269,53.1853
ir,nezamin,Nezamin,25,,35.4269,53.1853
ir,nezamivand,Nezamivand,08,,36.65,49.466667
ir,nezamiyeh,Nezamiyeh,42,,35.601433,59.259568
ir,nezam mahalleh,Nezam Mahalleh,35,,36.71838,53.790397
ir,nezam vafa,Nezam Vafa,29,,29.133571,58.244692
ir,nezar,Nezar,28,,31.774167,51.91
ir,nezaz,Nezaz,16,,35.0531,46.7991
ir,nezdun,Nezdun,28,,32.685833,51.641111
ir,nezeheh,Nezeheh,15,,31.2375,49.1258
ir,nezhdanlu,Nezhdanlu,29,,27.3117,57.5151
ir,nezh darreh,Nezh Darreh,01,,37.2647,45.1698
ir,nezhmar,Nezhmar,16,,35.4317,46.2256
ir,nezhow,Nezhow,16,,36.0803,45.8491
ir,nezhu,Nezhu,16,,36.0803,45.8491
ir,niabad,Niabad,16,,35.2453,46.46
ir,niab,Niab,41,,32.404167,59.751111
ir,niach,Niach,08,,37.065205,49.974035
ir,niah chu,Niah Chu,28,,33.334,52.7865
ir,niakan,Niakan,03,,32.559318,50.134823
ir,niak-e now,Niak-e Now,35,,35.879988,52.186663
ir,nia khorram,Nia Khorram,32,,37.5378,48.3496
ir,niak,Niak,33,,38.8175,47.312
ir,niak,Niak,35,,35.87262,52.188805
ir,niaku,Niaku,08,,37.244084,49.959121
ir,niala,Niala,35,,36.618939,53.820138
ir,nial nabi,Nial Nabi,15,,32.183333,48.216667
ir,nial,Nial,35,,36.187287,52.443444
ir,niamakan,Niamakan,04,,26.3132,59.434
ir,niami shahr,Niami Shahr,04,,26.804849,60.346487
ir,niam kand,Niam Kand,04,,26.3132,59.434
ir,niam sunt,Niam Sunt,04,,26.405833,60.234722
ir,niam zand,Niam Zand,04,,26.405833,60.234722
ir,nian kand,Nian Kand,04,,26.3132,59.434
ir,nian,Nian,11,,27.5496,56.8283
ir,nian,Nian,13,,34.0352,45.9547
ir,nian,Nian,42,,34.423958,57.966869
ir,nianqilan,Nianqilan,13,,34.0352,45.9547
ir,niaq,Niaq,23,,33.7462,48.1951
ir,niaq,Niaq,38,,36.3989,50.0508
ir,niarak,Niarak,38,,36.5196,49.4178
ir,niara,Niara,32,,38.2678,48.632
ir,niaraq,Niaraq,32,,38.2678,48.632
ir,niarej,Niarej,38,,35.6717,49.0828
ir,niarestan,Niarestan,33,,38.5558,46.3848
ir,niarij,Niarij,38,,35.6717,49.0828
ir,niarik,Niarik,38,,36.5196,49.4178
ir,niaristan,Niaristan,33,,38.5558,46.3848
ir,niarkistan,Niarkistan,33,,38.5558,46.3848
ir,niar,Niar,04,,27.933056,59.331389
ir,niar,Niar,09,,35.2884,49.0473
ir,niar,Niar,32,,38.2369,48.3273
ir,niaruq,Niaruq,13,,34.55,45.616667
ir,niasan,Niasan,08,,36.731361,50.306532
ir,niasar,Niasar,28,,33.9729,51.1489
ir,niasin,Niasin,08,,36.731361,50.306532
ir,niasteh-ye bala,Niasteh-ye Bala,35,,36.863113,50.741124
ir,niasteh-ye pa'in,Niasteh-ye Pa'in,35,,36.86637,50.74576
ir,niavala,Niavala,08,,36.906579,49.974603
ir,niaval,Niaval,08,,36.906579,49.974603
ir,niavaran,Niavaran,26,,35.816944,51.472778
ir,niavol,Niavol,08,,36.906579,49.974603
ir,niawala,Niawala,08,,36.906579,49.974603
ir,niawa,Niawa,16,,35.2453,46.46
ir,nia-ye bala,Nia-ye Bala,29,,28.853611,58.246944
ir,nia-ye pa'in,Nia-ye Pa'in,29,,28.798611,58.291111
ir,niayesh,Niayesh,15,,31.710833,49.396389
ir,niazabad,Niazabad,04,,28.942563,60.419556
ir,niazabad,Niazabad,10,,33.2694,46.6368
ir,niazabad,Niazabad,23,,33.8559,48.1778
ir,niazabad,Niazabad,37,,36.855568,54.082273
ir,niazabad,Niazabad,42,,35.267409,59.441877
ir,niaz agha,Niaz Agha,34,,33.8588,49.0293
ir,niazagheh,Niazagheh,34,,33.8588,49.0293
ir,niaz `ali,Niaz `Ali,15,,32.1227,49.4774
ir,niaz aqa,Niaz Aqa,34,,33.8588,49.0293
ir,niaz bolagh,Niaz Bolagh,16,,35.4794,47.8876
ir,niazi,Niazi,42,,36.516716,60.264531
ir,niaz kandi,Niaz Kandi,33,,37.2122,46.824
ir,niaz,Niaz,01,,39.1499,44.6099
ir,niaz,Niaz,16,,35.4145,47.5171
ir,niaz,Niaz,23,,33.8559,48.1778
ir,niaz,Niaz,33,,38.3984,47.3642
ir,niaz,Niaz,34,,35.1247,50.1314
ir,niazqoli,Niazqoli,32,,38.7674,47.688
ir,niaz su'i,Niaz Su'i,32,,38.359167,47.449444
ir,niaz zagheh,Niaz Zagheh,34,,33.8588,49.0293
ir,ni barim,Ni Barim,29,,28.052692,58.522483
ir,nicha,Nicha,33,,38.6502,46.1993
ir,nichit,Nichit,01,,36.5781,46.2157
ir,nichkuh,Nichkuh,35,,36.295124,51.589087
ir,nidan,Nidan,42,,34.300833,57.354444
ir,nidar,Nidar,11,,26.7592,57.8334
ir,nideh,Nideh,07,,27.4475,53.8612
ir,nideh shahr,Nideh Shahr,07,,28.786,54.4997
ir,nidshahr,Nidshahr,07,,28.786,54.4997
ir,nifdan,Nifdan,04,,27.855381,60.762134
ir,nigabad-e kuh,Nigabad-e Kuh,33,,37.3599,47.7243
ir,nigal,Nigal,04,,26.4038,60.2352
ir,nigal,Nigal,16,,35.2908,46.5223
ir,niganan,Niganan,42,,34.301855,57.351917
ir,nigani,Nigani,11,,27.9088,56.1649
ir,nigar husain,Nigar Husain,16,,35.8428,47.7674
ir,nigar khatun,Nigar Khatun,09,,35.1187,48.9255
ir,nigarman,Nigarman,25,,36.534448,54.840804
ir,nigar,Nigar,11,,25.847682,57.629298
ir,nigar,Nigar,29,,29.859,56.7997
ir,nigehabad,Nigehabad,16,,36.2859,47.6605
ir,nigeh,Nigeh,23,,33.0279,48.9365
ir,nigejeh,Nigejeh,32,,38.3659,48.4764
ir,nigel,Nigel,16,,35.2908,46.5223
ir,nigi kand,Nigi Kand,33,,37.5983,47.8603
ir,nignan,Nignan,42,,34.301855,57.351917
ir,nig,Nig,41,,32.4132,59.6957
ir,nig,Nig,42,,33.542727,59.095326
ir,nigor,Nigor,04,,25.388819,61.138339
ir,nigor,Nigor,11,,25.847682,57.629298
ir,nigvar,Nigvar,04,,25.388819,61.138339
ir,nigwar,Nigwar,11,,25.847682,57.629298
ir,nihamadabad,Nihamadabad,16,,35.8923,47.4897
ir,nihavand,Nihavand,09,,34.1885,48.377
ir,nije,Nije,16,,35.2524,46.6025
ir,nijmar,Nijmar,16,,35.4317,46.2256
ir,nij,Nij,16,,35.2524,46.6025
ir,nikabad,Nikabad,28,,32.303,52.2057
ir,nikagari,Nikagari,08,,37.7781,48.9199
ir,nika,Nika,35,,36.650786,53.299048
ir,nikan,Nikan,11,,27.415488,55.484395
ir,nik bey,Nik Bey,28,,33.3672,50.6024
ir,nik darpay-e sang,Nik Darpay-e Sang,29,,30.577416,57.304606
ir,nik hoseyn,Nik Hoseyn,23,,33.583333,49.166667
ir,niki kand,Niki Kand,16,,35.7421,48.0722
ir,niki kand,Niki Kand,34,,35.3739,49.7368
ir,nikjar,Nikjar,13,,34.8601,46.115
ir,nikjeh,Nikjeh,32,,38.3482,48.3439
ir,nikkan,Nikkan,04,,27.116667,62.35
ir,nik kari,Nik Kari,08,,37.7781,48.9199
ir,nikmeh dash,Nikmeh Dash,36,,37.0595,48.2059
ir,nik mohammad,Nik Mohammad,04,,31.0753,61.7901
ir,nik mo'men abad,Nik Mo'men Abad,41,,32.4132,59.6957
ir,nik nahar khan,Nik Nahar Khan,41,,32.606667,59.457778
ir,niknam deh,Niknam Deh,26,,35.8185,51.7317
ir,niknam deh,Niknam Deh,35,,36.204702,51.642573
ir,nik,Nik,04,,26.2258,60.2143
ir,nik,Nik,07,,30.23,51.643611
ir,nik,Nik,15,,31.589467,50.373063
ir,nik,Nik,26,,35.5524,51.7901
ir,nik,Nik,41,,32.4132,59.6957
ir,nik,Nik,42,,33.542727,59.095326
ir,ni kor,Ni Kor,04,,25.388819,61.138339
ir,nik pay,Nik Pay,36,,36.8504,48.1787
ir,nikpei,Nikpei,36,,36.8504,48.1787
ir,nikpey,Nikpey,28,,33.3672,50.6024
ir,nik pey,Nik Pey,36,,36.8504,48.1787
ir,nik pey,Nik Pey,42,,35.267913,60.394326
ir,nik shahr,Nik Shahr,04,,26.2258,60.2143
ir,nikuabad,Nikuabad,28,,32.395474,51.546737
ir,niku jahan,Niku Jahan,04,,26.0591,60.1661
ir,nikujar,Nikujar,44,,35.6783,50.4019
ir,nikukhan,Nikukhan,04,,25.3173,60.7731
ir,nikuya,Nikuya,38,,36.2917,49.5591
ir,nikuyeh,Nikuyeh,38,,36.2917,49.5591
ir,nilabad,Nilabad,42,,35.126419,60.772437
ir,nilab,Nilab,22,,27.8746,52.2733
ir,nilag,Nilag,04,,25.424715,61.311711
ir,nilakan,Nilakan,04,,26.573604,60.83416
ir,nilak,Nilak,04,,25.31238,61.26765
ir,nila,Nila,23,,33.6316,48.8893
ir,nilaq,Nilaq,32,,37.7023,48.2013
ir,nilash,Nilash,08,,37.4212,49.0814
ir,nilaura,Nilaura,13,,34.5894,46.518
ir,nilavareh,Nilavareh,13,,34.5662,46.5631
ir,nilavareh-ye `olya,Nilavareh-ye `Olya,13,,34.5894,46.518
ir,nilavareh-ye sofla,Nilavareh-ye Sofla,13,,34.5662,46.5631
ir,nilawa,Nilawa,13,,34.5662,46.5631
ir,nilazh,Nilazh,08,,37.4212,49.0814
ir,nileh kuh,Nileh Kuh,15,,30.4192,50.3353
ir,nileh kuh,Nileh Kuh,35,,36.363174,53.692715
ir,nileh,Nileh,23,,33.6316,48.8893
ir,nileh,Nileh,40,,31.483796,54.127627
ir,nileh safid,Nileh Safid,23,,33.6316,48.8893
ir,nilgan,Nilgan,04,,27.53702,61.192786
ir,nilgoonak,Nilgoonak,07,,29.5606,52.7319
ir,nilgunak,Nilgunak,07,,29.5606,52.7319
ir,nilgun,Nilgun,04,,28.283312,61.38777
ir,nili,Nili,37,,37.118923,55.260372
ir,nil,Nil,16,,35.6031,47.428
ir,nilu,Nilu,08,,36.904997,50.246059
ir,nilu rastegar,Nilu Rastegar,07,,29.0361,54.7689
ir,nimagird,Nimagird,28,,32.960155,50.373923
ir,nimahil,Nimahil,32,,37.255833,48.408611
ir,nimahkar,Nimahkar,16,,36.2849,47.9245
ir,nim allah,Nim Allah,23,,33.512,48.7853
ir,nimar,Nimar,16,,35.1053,46.723
ir,ni`matabad,Ni`matabad,29,,30.435,55.827
ir,ni`matabad,Ni`matabad,33,,38.0121,46.4565
ir,nimavar,Nimavar,36,,36.5568,48.6765
ir,nim chah,Nim Chah,35,,36.673373,53.292702
ir,nimdangi,Nimdangi,13,,34.1853,47.3279
ir,nim dangi,Nim Dangi,13,,34.1853,47.3279
ir,nimdang,Nimdang,13,,34.3544,46.6754
ir,nimdeh,Nimdeh,04,,28.383333,61.133333
ir,nimdeh,Nimdeh,07,,28.325,53.0898
ir,nim dowr,Nim Dowr,05,,30.610532,50.830624
ir,nimdur,Nimdur,05,,30.610532,50.830624
ir,nimeh afraz,Nimeh Afraz,07,,30.3625,53.507
ir,nimeh hil,Nimeh Hil,32,,37.255833,48.408611
ir,nimeh istgah-e saleh hamid,Nimeh Istgah-e Saleh Hamid,23,,33.0236,48.6694
ir,nimeh istgah-e salhamid,Nimeh Istgah-e Salhamid,23,,33.0236,48.6694
ir,nimeh kareh,Nimeh Kareh,13,,34.708,46.2779
ir,nimeh kareh,Nimeh Kareh,16,,36.2849,47.9245
ir,nimehkar,Nimehkar,11,,27.232,55.7448
ir,nimeh kar,Nimeh Kar,11,,27.232,55.7448
ir,nimeh kar,Nimeh Kar,11,,27.234,55.7517
ir,nimeh kar,Nimeh Kar,13,,34.708,46.2779
ir,nimeh kar,Nimeh Kar,16,,36.2849,47.9245
ir,nimeh,Nimeh,07,,27.5684,54.4165
ir,nimeh rah,Nimeh Rah,41,,32.967218,59.764848
ir,nimehvan,Nimehvan,34,,33.8871,50.5728
ir,nimeh var,Nimeh Var,34,,33.8871,50.5728
ir,nimewar,Nimewar,26,,35.808188,52.743157
ir,nim govar,Nim Govar,08,,36.97278,49.865607
ir,nimhel,Nimhel,32,,37.255833,48.408611
ir,nimiil",Nimiil",32,,37.255833,48.408611
ir,nim istgah-e ahu dasht,Nim Istgah-e Ahu Dasht,15,,31.912222,48.5225
ir,nim istgah-e saleh hamid,Nim Istgah-e Saleh Hamid,23,,33.0236,48.6694
ir,nim istgah-e salhamid,Nim Istgah-e Salhamid,23,,33.0236,48.6694
ir,nim istgah,Nim Istgah,15,,31.912222,48.5225
ir,nimkar,Nimkar,11,,27.7351,57.2594
ir,nim mardi,Nim Mardi,15,,32.85,48.466667
ir,nim mong,Nim Mong,29,,30.666667,57.1
ir,nim rah,Nim Rah,41,,32.967218,59.764848
ir,nimrudi,Nimrudi,29,,28.9671,57.065
ir,nimru mahmudi,Nimru Mahmudi,29,,29.1547,56.6339
ir,nimunek,Nimunek,29,,30.654646,57.111724
ir,nimvar,Nimvar,34,,33.8871,50.5728
ir,nimvar,Nimvar,35,,36.441417,51.585017
ir,nimwar,Nimwar,34,,33.8871,50.5728
ir,nineh,Nineh,34,,34.0259,50.5223
ir,ninehvand,Ninehvand,07,,30.55,51.25
ir,ni neni,Ni Neni,11,,26.136582,58.804572
ir,ni ni,Ni Ni,28,,33.1936,52.27
ir,nini,Nini,28,,33.583333,51.783333
ir,ni ni ni,Ni Ni Ni,11,,26.136582,58.804572
ir,niqaq-e `olya,Niqaq-e `Olya,37,,37.283333,55.35
ir,niqaq,Niqaq,37,,37.29363,55.368866
ir,niq,Niq,33,,38.8175,47.312
ir,nirabad,Nirabad,28,,33.567,52.4291
ir,nirab,Nirab,37,,37.016667,55.15
ir,nirach,Nirach,38,,35.6717,49.0828
ir,nira'i,Nira'i,07,,27.361667,53.147222
ir,nira'i-ye bala,Nira'i-ye Bala,07,,27.36,53.1172
ir,nira'i-ye pa'in,Nira'i-ye Pa'in,07,,27.3659,53.1225
