ro,Rancho El Socorro,10,,24.516667,-103.916667
mx,rancho escondido,Rancho Escondido,02,,31.483333,-116.366667
mx,rancho escondido,Rancho Escondido,30,,18.125,-94.486111
mx,rancho escuelita,Rancho Escuelita,06,,29.6,-105.316667
mx,rancho esmeralda,Rancho Esmeralda,06,,27.15,-104.85
mx,rancho esmeralda,Rancho Esmeralda,26,,29.333333,-110.833333
mx,rancho espadonal,Rancho Espadoñal,25,,24.261111,-106.1425
mx,rancho esperancita,Rancho Esperancita,26,,28.1,-110.766667
mx,rancho esperanza de los gaizas,Rancho Esperanza De Los Gaizas,28,,24.85,-98.35
mx,rancho esperanza de los perez,Rancho Esperanza De Los Pérez,28,,24.866667,-98.416667
mx,rancho esperanza,Rancho Esperanza,26,,26.883333,-109.416667
mx,rancho espiga de oro,Rancho Espiga de Oro,02,,32.241667,-116.520556
mx,rancho espiritu,Rancho Espíritu,06,,27.033333,-108.433333
mx,rancho espiritu santo,Rancho Espíritu Santo,10,,25.85,-104.05
mx,rancho establo los conchos,Rancho Establo Los Conchos,07,,28,-101.333333
mx,rancho estacas,Rancho Estacas,19,,26.382778,-100.879167
mx,rancho estacia de las adargas,Rancho Estacia de las Adargas,06,,26.883333,-104.883333
mx,rancho estancia corpus christi,Rancho Estancia Corpus Christi,02,,31.316667,-116.283333
mx,rancho estancia,Rancho Estancia,26,,30.283333,-108.95
mx,rancho estanque del caballo,Rancho Estanque del Caballo,07,,26.283333,-101.7
mx,rancho estrada,Rancho Estrada,06,,28.533333,-107.416667
mx,rancho fatima,Rancho Fátima,26,,28.066667,-110.683333
mx,rancho favela,Rancho Favela,26,,28.933333,-111.8
mx,rancho fernandez,Rancho Fernández,07,,28.216667,-100.45
mx,rancho flechadores,Rancho Flechadores,28,,24.533333,-98.7
mx,rancho floreno,Rancho Floreno,10,,24.433333,-102.483333
mx,rancho flores magon,Rancho Flores Magón,26,,30.816667,-112.983333
mx,rancho flores munoz,Rancho Flores Muñoz,26,,28.633333,-111.666667
mx,rancho flores,Rancho Flores,06,,31.716667,-106.566667
mx,rancho flores,Rancho Flores,07,,25.45,-101.016667
mx,rancho frailecillos,Rancho Frailecillos,10,,25.566667,-106.533333
mx,rancho frijolar,Rancho Frijolar,06,,27.45,-108.433333
mx,rancho gageola,Rancho Gageola,25,,25.533333,-107.933333
mx,rancho gallego,Rancho Gallego,26,,29.283333,-109.966667
mx,rancho gallera,Rancho Gallera,26,,29.4,-110.8
mx,rancho gallinas blancas,Rancho Gallinas Blancas,07,,28.45,-100.9
mx,rancho gallos biancos,Rancho Gallos Biancos,24,,24.016667,-100.683333
mx,rancho galveston,Rancho Gálveston,07,,27.283333,-102.366667
mx,rancho gamon,Rancho Gamón,10,,24.6,-104.333333
mx,rancho ganzalo,Rancho Ganzalo,32,,22.25,-102.716667
mx,rancho garambullo,Rancho Garambullo,06,,30.7,-106.466667
mx,rancho garambullo,Rancho Garambullo,26,,28.966667,-111.166667
mx,rancho garambullos,Rancho Garambullos,26,,29.75,-109.55
mx,rancho garcia,Rancho García,07,,27.05,-101.316667
mx,rancho garita,Rancho Garita,26,,28.933333,-110.583333
mx,rancho garza flores,Rancho Garza Flores,19,,25.883333,-99.8
mx,rancho gasogachic,Rancho Gasogachic,06,,27.85,-108.3
mx,rancho gaurdiola,Rancho Gaurdiola,06,,28.633333,-105.433333
mx,rancho gavaceno,Rancho Gavaceño,28,,24.95,-97.766667
mx,rancho gavilan,Rancho Gavilán,26,,29.333333,-110.566667
mx,rancho gem,Rancho Gem,28,,27.333333,-99.55
mx,rancho genaro,Rancho Genaro,07,,27.666667,-102.6
mx,rancho gigante,Rancho Gigante,19,,25.433333,-100.35
mx,rancho gomas,Rancho Gomas,19,,26.166667,-100.466667
mx,rancho gomego,Rancho Gomego,06,,27.783333,-107.766667
mx,rancho gomera de arriba,Rancho Gomera de Arriba,06,,27,-105.6
mx,rancho gorgoros,Rancho Górgoros,07,,27.15,-100.85
mx,rancho gracias a. dios,Rancho Gracias A. Dios,19,,26.066667,-99.083333
mx,rancho granada,Rancho Granada,26,,26.616944,-108.988056
mx,rancho grande,Rancho Grande,02,,31.083333,-116.2
mx,rancho grande,Rancho Grande,06,,28.083333,-105.283333
mx,rancho grande,Rancho Grande,07,,25.716667,-103.233333
mx,rancho grande,Rancho Grande,08,,18.927778,-103.866667
mx,rancho grande,Rancho Grande,10,,25.283333,-104
mx,rancho grande,Rancho Grande,18,,22.066667,-105.316667
mx,rancho grande,Rancho Grande,26,,29.816667,-111.25
mx,rancho grande,Rancho Grande,27,,17.416667,-91.4
mx,rancho grande,Rancho Grande,28,,26.1,-98.316667
mx,rancho grande,Rancho Grande,32,,23.45,-102.966667
mx,rancho granja san juanito,Rancho Granja San Juanito,10,,25.6,-103.583333
mx,rancho guacaporo,Rancho Guacaporo,26,,27.533333,-109.166667
mx,rancho guacariachic,Rancho Guacariachic,06,,27.566667,-106.8
mx,rancho guadalupe del cerrito,Rancho Guadalupe del Cerrito,28,,25.3,-98.433333
mx,rancho guadalupe,Rancho Guadalupe,02,,32.5,-116.6
mx,rancho guadalupe,Rancho Guadalupe,06,,27.033333,-104.683333
mx,rancho guadalupe,Rancho Guadalupe,07,,26.7,-100.95
mx,rancho guadalupe,Rancho Guadalupe,10,,26.35,-104.333333
mx,rancho guadalupe,Rancho Guadalupe,11,,20.663889,-101.298056
mx,rancho guadalupe,Rancho Guadalupe,19,,25.7,-99.383333
mx,rancho guadalupe,Rancho Guadalupe,26,,26.610556,-108.874167
mx,rancho guajolotes,Rancho Guajolotes,10,,25.916667,-105.883333
mx,rancho guallos,Rancho Guallos,26,,26.866667,-109.433333
mx,rancho guamuchil,Rancho Guamúchil,26,,27.15,-108.916667
mx,rancho guaponal de abajo,Rancho Guaponal de Abajo,19,,25.066667,-100.233333
mx,rancho guarda ganado,Rancho Guarda Ganado,07,,27.633333,-101.633333
mx,rancho guasachiqui,Rancho Guasachiqui,06,,27.45,-107.9
mx,rancho guasaremos,Rancho Guasaremos,06,,27.65,-108.716667
mx,rancho guasima,Rancho Guásima,26,,28.483333,-109.833333
mx,rancho guayacan,Rancho Guayacán,07,,27.883333,-101.2
mx,rancho guerachic,Rancho Güérachic,06,,28.75,-106.533333
mx,rancho guerigo,Rancho Guérigo,26,,28.433333,-109.116667
mx,rancho guetoybo,Rancho Guetoybo,06,,27.316667,-108.033333
mx,rancho guimbalete,Rancho Guimbalete,06,,27.033333,-103.733333
mx,rancho gupitare,Rancho Gupitare,06,,27.833333,-107.583333
mx,rancho hacienda agricola,Rancho Hacienda Agricola,07,,28.75,-101.116667
mx,rancho hacienda del caballo,Rancho Hacienda del Caballo,07,,28.9,-101.166667
mx,rancho hacienda el fortin,Rancho Hacienda El Fortín,07,,27.95,-102.066667
mx,rancho hacienda la encantada,Rancho Hacienda La Encantada,07,,28.583333,-102.383333
mx,rancho hacienda la jarita,Rancho Hacienda La Jarita,07,,27.4,-103.383333
mx,rancho hacienda la nesta,Rancho Hacienda La Nesta,07,,28.35,-101.65
mx,rancho hacienda las marias,Rancho Hacienda Las Marías,07,,27.35,-102.033333
mx,rancho hacienda otinapa,Rancho Hacienda Otinapa,10,,24.181389,-105.008611
mx,rancho hacienda sierra hermosa,Rancho Hacienda Sierra Hermosa,07,,27.95,-102.066667
mx,rancho hacienda valle colombia,Rancho Hacienda Valle Colombia,07,,28.366667,-102.3
mx,rancho haciendita,Rancho Haciendita,06,,27.266667,-108.516667
mx,rancho hedionda,Rancho Hedionda,19,,25.766667,-100.45
mx,rancho herminio,Rancho Herminio,32,,22.766667,-102.183333
mx,rancho hernandez,Rancho Hernández,06,,30.466667,-106.533333
mx,rancho herrera,Rancho Herrera,06,,26.733333,-104.2
mx,rancho higuera,Rancho Higuera,06,,28.55,-106.283333
mx,rancho higueras,Rancho Higueras,07,,26.916667,-101.3
mx,rancho higueras,Rancho Higueras,25,,24.413333,-107.408333
mx,rancho hilareno,Rancho Hilareño,26,,29.066667,-110.65
mx,rancho hilda,Rancho Hilda,06,,30.783333,-106.75
mx,rancho hinojosa,Rancho Hinojosa,19,,26.516667,-99.566667
mx,rancho honco,Rancho Honco,32,,21.216667,-102.2
mx,rancho honorato,Rancho Honorato,06,,27.95,-104.116667
mx,rancho hormigas,Rancho Hormigas,07,,27.766667,-103.933333
mx,rancho hormigas,Rancho Hormigas,19,,27.016667,-99.966667
mx,rancho hornito,Rancho Hornito,10,,24.721389,-105.326111
mx,rancho hornos,Rancho Hornos,06,,27.566667,-108.483333
mx,rancho hornos,Rancho Hornos,25,,25.033333,-107.516667
mx,rancho huahuiran,Rancho Huahuiran,28,,24.816667,-99.033333
mx,rancho huajalamas,Rancho Huajalamas,26,,27.25,-108.883333
mx,rancho hualala,Rancho Hualala,28,,24.516667,-98.05
mx,rancho huamuchil,Rancho Huamúchil,26,,26.965278,-108.516389
mx,rancho huaquila,Rancho Huaquila,26,,28.716667,-110.366667
mx,rancho huerta,Rancho Huerta,06,,28.2,-106.816667
mx,rancho huerta,Rancho Huerta,26,,29.616667,-110.566667
mx,rancho hueso,Rancho Hueso,06,,28.883333,-105.266667
mx,rancho huichaboachic,Rancho Huichaboachic,06,,27.033333,-107.083333
mx,rancho huicoche,Rancho Huicoche,26,,27.316667,-108.616667
mx,rancho huisa,Rancho Huisa,26,,28.616667,-109.8
mx,rancho huizachal,Rancho Huizachal,07,,27.5,-101.266667
mx,rancho huizachal,Rancho Huizachal,28,,24.783333,-97.95
mx,rancho huizachito,Rancho Huizachito,19,,27.333333,-99.966667
mx,rancho ibarra,Rancho Ibarra,02,,30.9,-116.1
mx,rancho ibarriola,Rancho Ibarriola,26,,30.533333,-111.733333
mx,rancho icamole,Rancho Icamole,19,,25.916667,-100.716667
mx,rancho internacional,Rancho Internacional,26,,30.55,-109.133333
mx,rancho isidoro,Rancho Isidoro,32,,24.033333,-101.85
mx,rancho italia,Rancho Italia,02,,32.237778,-116.618889
mx,rancho jabali,Rancho Jabali,07,,27.2,-100.833333
mx,rancho jabali,Rancho Jabalí,28,,26.416667,-99.3
mx,rancho jaboncillos,Rancho Jaboncillos,07,,27.55,-101.266667
mx,rancho jacalitos,Rancho Jacalitos,19,,25.216667,-99.25
mx,rancho jacomun,Rancho Jacomún,02,,32.483333,-116.316667
mx,rancho jacumba,Rancho Jacúmba,26,,30.666667,-111.916667
mx,rancho jaguey,Rancho Jagüey,26,,29.033333,-111.116667
mx,rancho jalapeno,Rancho Jalapeño,28,,25.816667,-98.233333
mx,rancho jamalay,Rancho Jamalay,02,,32.183611,-116.341944
mx,rancho janitzio,Rancho Janitzio,26,,26.9,-109.733333
mx,rancho japa,Rancho Japa,02,,32.433333,-116.166667
mx,rancho jaralilla,Rancho Jaralilla,10,,24.616667,-103.816667
mx,rancho jasay,Rancho Jasay,02,,32.283333,-116.016667
mx,rancho jatay,Rancho Jatay,02,,32.026389,-116.855
mx,rancho jecolua,Rancho Jecolúa,25,,26.228611,-108.7425
mx,rancho jecopaco,Rancho Jecopaco,26,,27.483333,-108.733333
mx,rancho jeronimo,Rancho Jerónimo,07,,27.566667,-100.65
mx,rancho jesus del monte,Rancho Jesús del Monte,06,,28.966667,-107.766667
mx,rancho jesus maria,Rancho Jesús Maria,07,,24.8,-100.95
mx,rancho jesus,Rancho Jesús,05,,14.633333,-92.166667
mx,rancho jincore,Rancho Jincore,26,,27.5,-109.583333
mx,rancho jiquima,Rancho Jiquima,26,,29.683333,-110.583333
mx,rancho johnson,Rancho Johnson,02,,31.1,-116.266667
mx,rancho jordaneno,Rancho Jordaneño,06,,27.616667,-105.05
mx,rancho jori,Rancho Jóri,26,,27.6,-110.1
mx,rancho jose leon,Rancho José León,10,,25.9,-104.266667
mx,rancho jose maria,Rancho José María,19,,26,-100.383333
mx,rancho juana maria,Rancho Juana María,28,,24.65,-98.516667
mx,rancho juan de la cruz,Rancho Juan de la Cruz,19,,25.066667,-99.666667
mx,rancho juan diego,Rancho Juan Diego,10,,24.736667,-104.133611
mx,rancho juan perez,Rancho Juan Pérez,10,,24.45,-103.616667
mx,rancho juarez,Rancho Juárez,26,,30.75,-112.5
mx,rancho jucaral,Rancho Jucaral,26,,31.183333,-109.083333
mx,rancho judas tadeo,Rancho Judas Tadeo,23,,18.9,-88.216667
mx,ranch ojuelos,Ranch Ojuelos,06,,28.3,-105.366667
mx,rancho jupan guaymas,Rancho Júpan Guaymas,26,,28.233333,-111.15
mx,rancho jupis,Rancho Jupis,26,,29.55,-109.483333
mx,rancho juribana,Rancho Juribana,26,,30.866667,-109.7
mx,rancho jusacucsa,Rancho Jusacucsa,26,,26.983333,-109.1
mx,rancho la adea,Rancho La Adea,19,,25.916667,-99.716667
mx,rancho la agua encantada,Rancho La Agua Encantada,10,,26.1,-105.583333
mx,rancho la aguamiel,Rancho La Aguamiel,28,,24.816667,-98.883333
mx,rancho la agua nueva,Rancho La Agua Nueva,26,,31.383333,-111.366667
mx,rancho la aguilarena,Rancho La Aguilareña,26,,29.583333,-110.466667
mx,rancho la aguirrena,Rancho La Aguirreña,19,,27.1,-100.766667
mx,rancho la aguja,Rancho La Aguja,02,,30.583333,-110.85
mx,rancho la aguja,Rancho La Aguja,19,,27.066667,-100.016667
mx,rancho la aguja,Rancho La Aguja,26,,30.6,-110.85
mx,rancho la alameda,Rancho La Alameda,26,,30.733333,-112.766667
mx,rancho la angostura,Rancho La Angostura,19,,24.42,-99.883611
mx,rancho la angostura,Rancho La Angostura,26,,27.816667,-109.316667
mx,rancho la arpa,Rancho La Arpa,26,,29.8,-111.3
mx,rancho la asuncion,Rancho La Asunción,07,,28.733333,-100.783333
mx,rancho la aurora,Rancho La Aurora,25,,26.268889,-108.740278
mx,rancho la azufrosa,Rancho La Azufrosa,07,,27.4,-100.766667
mx,rancho la bajada,Rancho La Bajada,06,,31.183333,-107.9
mx,rancho la bandera,Rancho La Bandera,19,,25.983333,-98.966667
mx,rancho la bandera,Rancho La Bandera,26,,31.033333,-112.144444
mx,rancho la bandera,Rancho La Bandera,28,,26.683333,-99.366667
mx,rancho la barreta,Rancho La Barreta,19,,26.583333,-100.433333
mx,rancho la barrosa,Rancho La Barrosa,19,,26.166667,-100.083333
mx,rancho la bebelama,Rancho La Bebelama,26,,29,-111.05
mx,rancho la becerra,Rancho La Becerra,28,,24.716667,-98.333333
mx,rancho la bedolla,Rancho La Bedolla,26,,30.666667,-110.933333
mx,rancho la bellota,Rancho La Bellota,26,,30.766667,-110.333333
mx,rancho la bicoca,Rancho La Bicoca,26,,30.9,-110.85
mx,rancho la bicoco,Rancho La Bicoco,26,,31.132778,-111.881389
mx,rancho la biznaga,Rancho La Biznaga,26,,28.816667,-111.2
mx,rancho la boca,Rancho La Boca,19,,26.366667,-99.933333
mx,rancho la bola,Rancho La Bola,19,,25.533333,-100.233333
mx,rancho la bolsa,Rancho La Bolsa,26,,30.583333,-112.916667
mx,rancho la bonita,Rancho La Bonita,07,,27.616667,-101.466667
mx,rancho la boquilla,Rancho La Boquilla,06,,28.516667,-107.2
mx,rancho la boquilla,Rancho La Boquilla,07,,25.3,-100.4
mx,rancho la borboya,Rancho La Borboya,28,,24.066667,-98.766667
mx,rancho laborcilla,Rancho Laborcilla,19,,25.383333,-100.25
mx,rancho laborcita,Rancho Laborcita,19,,24.9,-100.066667
mx,rancho la borcita,Rancho La Borcita,26,,26.887222,-108.765278
mx,rancho labor de dolores,Rancho Labor de Dolores,06,,28.583333,-106.15
mx,rancho la borrega,Rancho La Borrega,10,,24.433333,-105.833333
mx,rancho la burra,Rancho La Burra,07,,28.05,-100.15
mx,rancho la burra,Rancho La Burra,19,,26.033333,-99.383333
mx,rancho la cabana,Rancho La Cabaña,19,,25.033333,-100.65
mx,rancho la cabana,Rancho La Cabaña,26,,28.7,-110.366667
mx,rancho la calentura,Rancho La Calentura,02,,31.25,-116.1
mx,rancho la calera,Rancho La Calera,06,,28.25,-108.483333
mx,rancho la calera,Rancho La Calera,07,,28.766667,-101.15
mx,rancho la calera,Rancho La Calera,19,,26.966667,-100.216667
mx,rancho la calera,Rancho La Calera,26,,30.416667,-110.05
mx,rancho la campana,Rancho La Campana,07,,26.583333,-101.783333
mx,rancho la campana,Rancho La Campana,26,,28.316667,-110.65
mx,rancho la canada,Rancho La Cañada,26,,26.925278,-108.524167
mx,rancho la candelaria,Rancho La Candelaria,07,,26.166667,-102.716667
mx,rancho la canoa,Rancho La Canoa,06,,27.183333,-106.166667
mx,rancho la cantera,Rancho La Cantera,06,,26.666667,-105.35
mx,rancho la capoma,Rancho La Capoma,26,,28.916667,-110.166667
mx,rancho la carroza,Rancho La Carroza,19,,26.5,-99.65
mx,rancho la cartuchera,Rancho La Cartuchera,06,,29.25,-107
mx,rancho la casita,Rancho La Casita,02,,32.153056,-116.797222
mx,rancho la casita,Rancho La Casita,06,,28.166667,-108.133333
mx,rancho la casita,Rancho La Casita,07,,25.183333,-101.433333
mx,rancho la ceja,Rancho La Ceja,19,,26,-99.016667
mx,rancho la ceja,Rancho La Ceja,28,,24.283333,-98.433333
mx,rancho la chachita,Rancho La Chachita,06,,30.566667,-106.516667
mx,rancho la chiripa,Rancho La Chiripa,06,,28.783333,-105.816667
mx,rancho la chonita,Rancho La Chonita,26,,30.883333,-108.85
mx,rancho la chuparrosa,Rancho La Chuparrosa,07,,29.516667,-101.233333
mx,rancho la cienaga,Rancho La Cienaga,19,,26.45,-100.066667
mx,rancho la cienaguita,Rancho La Cienaguita,26,,31.15,-109.2
mx,rancho la cienega,Rancho La Cienega,02,,31.7,-115.833333
mx,rancho la cieneguilla,Rancho La Cieneguilla,06,,27.766667,-105.983333
mx,rancho la cieneguita de chepes,Rancho La Cieneguita de Chepes,06,,26.966667,-106.233333
mx,rancho la cieneguita,Rancho La Cieneguita,06,,27.95,-106.7
mx,rancho la cieneguita,Rancho La Cieneguita,10,,26.016667,-106.516667
mx,rancho la cieneguita,Rancho La Cieneguita,26,,28.183333,-109.916667
mx,rancho la citacota,Rancho La Citacota,26,,28.833333,-110.3
mx,rancho la cobriza,Rancho La Cobriza,26,,27.633333,-109.283333
mx,rancho la colima,Rancho La Colima,28,,26.7,-99.333333
mx,rancho la colonia,Rancho La Colonia,06,,27.1,-106.35
mx,rancho la colonia,Rancho La Colonia,10,,25.683333,-103.566667
mx,rancho la colonia seca,Rancho La Colonia Seca,26,,31.133333,-109.216667
mx,rancho la colorada,Rancho La Colorada,07,,25.316667,-101.05
mx,rancho la colorada,Rancho La Colorada,26,,30.633333,-111.883333
mx,rancho la coma,Rancho La Coma,28,,26.35,-99.033333
mx,rancho la concepcion,Rancho La Concepción,06,,27.216667,-104.833333
mx,rancho la concepcion,Rancho La Concepción,07,,25.283333,-100.783333
mx,rancho la concepcion,Rancho La Concepción,10,,24.583333,-103.45
mx,rancho la condores libertad,Rancho La Condorés Libertad,26,,30.75,-113
mx,rancho la constitucion vado,Rancho La Constitución Vado,19,,27.016667,-99.983333
mx,rancho la corolina,Rancho La Corolina,07,,25.216667,-100.383333
mx,rancho la costa,Rancho La Costa,26,,28.916667,-111.6
mx,rancho la coyota,Rancho La Coyota,06,,28.35,-107.416667
mx,rancho la cruzada,Rancho La Cruzada,06,,27.05,-106.716667
mx,rancho la cruz,Rancho La Cruz,06,,26.783333,-104.666667
mx,rancho la cruz,Rancho La Cruz,07,,27.2,-102.566667
mx,rancho la cruz,Rancho La Cruz,10,,24.65,-103.933333
mx,rancho la cruz,Rancho La Cruz,19,,25.283333,-99.55
mx,rancho la cruz,Rancho La Cruz,26,,29.033333,-110.783333
mx,rancho la cuadra,Rancho La Cuadra,06,,27.433333,-105.15
mx,rancho la cuarentena,Rancho La Cuarentena,08,,19.120833,-104.388889
mx,rancho la cuchilla,Rancho La Cuchilla,07,,26.266667,-103.1
mx,rancho la cuesta de las fuentes,Rancho La Cuesta de las Fuentes,19,,25.133333,-100.833333
mx,rancho la cueva,Rancho La Cueva,06,,27.25,-106.366667
mx,rancho la cueva,Rancho La Cueva,26,,28.883333,-109.433333
mx,rancho la curena,Rancho La Cureña,10,,24.983333,-103.633333
mx,rancho la curva,Rancho La Curva,07,,27.133333,-102.95
mx,rancho la diana,Rancho La Diana,06,,26.633333,-104.4
mx,rancho la diana,Rancho La Diana,28,,24.483333,-97.95
mx,rancho la encontrada,Rancho La Encontrada,26,,31.116667,-110.916667
mx,rancho la escondida,Rancho La Escondida,07,,25.216667,-100.733333
mx,rancho la escondida,Rancho La Escondida,10,,24.516667,-104.333333
mx,rancho la escondida,Rancho La Escondida,19,,25.4,-100.266667
mx,rancho la esealera,Rancho La Esealera,19,,27.2,-99.833333
mx,rancho la esmeralda,Rancho La Esmeralda,07,,28.416667,-100.816667
mx,rancho la esmeralda,Rancho La Esmeralda,26,,30.733333,-112.516667
mx,rancho la esperanza,Rancho La Esperanza,06,,27.033333,-104.883333
