gtingchi,Chingtingchi,01,,33.618611,116.431667
cn,chinshu,Chinshu,24,,36.916667,111.883333
cn,chinshui,Chinshui,24,,35.689413,112.15798
cn,chinshui,Chinshui,26,,33.268889,107.858333
cn,chinshuihochieh,Chinshuihochieh,26,,33.268889,107.858333
cn,chinshuihsien,Chinshuihsien,24,,35.689413,112.15798
cn,chinshuikou,Chinshuikou,10,,39.588611,115.060278
cn,chinshuikou,Chinshuikou,26,,34.983333,110.216667
cn,chinshuykhoza,Chinshuykhoza,13,,42.258611,86.857778
cn,chinsi,Chinsi,19,,40.764317,120.85327
cn,chinsochen,Chinsochen,04,,33.619167,118.289167
cn,chinsochiao,Chinsochiao,04,,33.619167,118.289167
cn,chinsokuan,Chinsokuan,26,,35.210278,109.042778
cn,chinssuniangchiaochen,Chinssuniangchiaochen,02,,30.698611,121.246667
cn,chinssuniangchiao,Chinssuniangchiao,02,,30.698611,121.246667
cn,chinsuchen,Chinsuchen,32,,29.330879,103.868587
cn,chintachen,Chintachen,15,,39.983333,98.866667
cn,chintacheng,Chintacheng,15,,39.983333,98.866667
cn,chinta,Chinta,14,,30,92.833333
cn,chinta,Chinta,15,,39.983333,98.866667
cn,chinta,Chinta,32,,31.466667,100.733333
cn,chintahsien,Chintahsien,15,,39.983333,98.866667
cn,chintai,Chintai,04,,31.340905,119.677213
cn,chintai,Chintai,10,,37.063056,114.494167
cn,chintai,Chintai,25,,36.703056,119.435
cn,chintanchen,Chintanchen,10,,36.345556,115.301944
cn,chintan,Chintan,03,,27.271685,115.118667
cn,chintan,Chintan,04,,31.75,119.583333
cn,chintan,Chintan,30,,24.065001,112.807893
cn,chintangchen,Chintangchen,26,,36.775556,108.299722
cn,chintang,Chintang,12,,29.313888,114.169925
cn,chintang,Chintang,16,,23.133333,109.433333
cn,chin tang,Chin Tang,18,,25.7,107.633333
cn,chintang,Chintang,26,,36.775556,108.299722
cn,chintang,Chintang,32,,30.372077,102.27752
cn,chintanghsien,Chintanghsien,32,,30.883333,104.316667
cn,chintangshechihchu,Chintangshechihchu,32,,30.372077,102.27752
cn,chintangtsun,Chintangtsun,04,,31.340905,119.677213
cn,chintanhsien,Chintanhsien,04,,31.75,119.583333
cn,chinte,Chinte,16,,24.215556,109.328333
cn,chinteli,Chinteli,08,,48.083333,133.283333
cn,chintienchen,Chintienchen,24,,36.05,111.416667
cn,chintien,Chintien,03,,27.150171,114.4386
cn,chintien,Chintien,12,,31.078611,113.646944
cn,chintien,Chintien,16,,23.598333,110.112778
cn,chintien,Chintien,24,,36.05,111.416667
cn,chintientsun,Chintientsun,16,,23.598333,110.112778
cn,chinting,Chinting,26,,36.733333,108.4
cn,chintitien,Chintitien,10,,37.275833,114.583889
cn,chinto,Chinto,06,,33.366667,97.133333
cn,chintongtzu,Chintongtzu,32,,30.372077,102.27752
cn,chintoszepaotzu,Chintoszepaotzu,15,,39.4,98.816667
cn,chintouchen,Chintouchen,26,,34.572222,108.105
cn,chintou,Chintou,12,,31.785556,111.098611
cn,chintouyu,Chintouyü,19,,41.481816,124.361573
cn,chintsaitang,Chintsaitang,29,,22.763889,103.978056
cn,chintsaochen,Chintsaochen,04,,32.063834,120.862163
cn,chintsao,Chintsao,04,,32.063834,120.862163
cn,chintsechen,Chintsechen,23,,31.037143,120.9147
cn,chintse,Chintse,23,,31.037143,120.9147
cn,chintsuitzu,Chintsuitzu,15,,36.841111,103.101389
cn,chintsunchen,Chintsunchen,10,,37.833333,116.666667
cn,chintsun,Chintsun,02,,28.192778,120.4475
cn,chintsun,Chintsun,10,,37.833333,116.666667
cn,chintsun,Chintsun,24,,35.501944,112.905833
cn,chintuchen,Chintuchen,26,,34.1025,108.750833
cn,chintu,Chintu,26,,34.1025,108.750833
cn,chintuichen,Chintuichen,24,,36.4775,112.046111
cn,chintuicheng,Chintuicheng,26,,34.334019,109.967472
cn,chintui,Chintui,24,,36.4775,112.046111
cn,chintunchieh,Chintunchieh,29,,26.233333,100.566667
cn,chintungchen,Chintungchen,04,,32.649686,120.092339
cn,chintung,Chintung,04,,32.649686,120.092339
cn,chintungtzu,Chintungtzu,32,,30.372077,102.27752
cn,chintzuchen,Chintzuchen,24,,37.705833,112.43
cn,chintzu,Chintzu,24,,37.705833,112.43
cn,chintzupai,Chintzupai,01,,29.846308,117.807779
cn,chinu,Chinu,30,,23.18085,114.452896
cn,chinuhu,Chinuhu,30,,23.18085,114.452896
cn,chinuhuhsu,Chinuhuhsu,30,,23.18085,114.452896
cn,chinwangchiao,Chinwangchiao,04,,32.105833,120.948333
cn,chinwanghsuan,Chinwanghsuan,02,,30.252336,122.382278
cn,chinwangtao,Chinwangtao,10,,39.931667,119.588333
cn,chinwutang,Chinwutang,11,,27.075833,110.348056
cn,chinya,Chinya,16,,24.583333,106.9
cn,chinyang,Chinyang,07,,27.428889,119.428333
cn,chinyang,Chinyang,09,,35.088056,112.939444
cn,chinyang,Chinyang,32,,27.701782,103.248056
cn,chinyanghsien,Chinyanghsien,09,,35.088056,112.939444
cn,chinyangkou,Chinyangkou,12,,30.494167,111.162778
cn,chinyangtsun,Chinyangtsun,02,,28.139167,120.889167
cn,chinyeh,Chinyeh,25,,35.394722,116.088333
cn,chinyinpieh,Chinyinpieh,05,,42.826031,127.729066
cn,chinyinpiehkoutzu,Chinyinpiehkoutzu,05,,42.819167,127.723889
cn,chinyinshan,Chinyinshan,18,,27.483889,105.390833
cn,chinyuan,Chinyüan,24,,37.726944,112.470833
cn,chinyuanhsien,Chinyüanhsien,24,,37.726944,112.470833
cn,chinyu,Chinyu,07,,27.10358,120.245419
cn,chinyun,Chinyün,02,,28.65,120.05
cn,chinyunhsienchih,Chinyünhsienchih,02,,28.65,120.05
cn,chinyunhsien,Chinyünhsien,02,,28.65,120.05
cn,chio,Chio,26,,38.95,110.983333
cn,chioyuchikho,Chioyuchikho,14,,30.866667,96.4
cn,chipachi,Chipachi,08,,47.416667,129.416667
cn,chipanchen,Chipanchen,26,,35.304444,109.185556
cn,chipan,Chipan,04,,34.233333,118.216667
cn,chipan,Chipan,13,,37.666667,76.833333
cn,chipan,Chipan,26,,35.304444,109.185556
cn,chipangchen,Chipangchen,04,,31.891394,121.443682
cn,chipangchen,Chipangchen,23,,31.525278,121.762222
cn,chipanshan,Chipanshan,10,,42.083333,117.616667
cn,chipanshang,Chipanshang,04,,34.233333,118.216667
cn,chipanshih,Chipanshih,01,,30.383333,116.3
cn,chipantzu,Chipantzu,04,,34.233333,118.216667
cn,chipaochen,Chipaochen,23,,31.152669,121.35688
cn,chipao,Chipao,23,,31.152669,121.35688
cn,chipaokou,Chipaokou,20,,51.223889,120.008333
cn,chipengchen,Chipengchen,04,,31.891394,121.443682
cn,chipengchen,Chipengchen,23,,31.525278,121.762222
cn,chipeng,Chipeng,04,,32.002872,121.49507
cn,chipengzhen,Chipengzhen,04,,32.002872,121.49507
cn,chipeng zhen,Chipeng Zhen,04,,32.002872,121.49507
cn,chipiling,Chipiling,07,,24.8625,117.561389
cn,chipingao,Chipingao,03,,28.665487,114.204411
cn,chiping,Chiping,03,,28.665487,114.204411
cn,chiping,Chiping,07,,26.981389,119.724722
cn,chiping,Chiping,11,,28.288333,110.42
cn,chiping,Chiping,25,,36.594167,116.241944
cn,chiping,Chiping,32,,31.890299,106.145767
cn,chipiyang,Chipiyang,07,,25.704722,118.686111
cn,chipiyuan,Chipiyuan,11,,26.517222,111.354167
cn,chipo,Chipo,30,,20.730848,109.955911
cn,chipo,Chipo,31,,19.154276,110.31979
cn,chipotang,Chipotang,30,,20.742983,109.968813
cn,chipotu,Chipotu,13,,47.2,88.366667
cn,chipotzu,Chipotzu,10,,40.274444,118.726667
cn,chipu,Chipu,07,,26.5075,119.545
cn,chipuhulangtu,Chipuhulangtu,20,,48.966667,117.8
cn,chiqen,Chiqên,14,,31.3,97.8
cn,chiqiao,Chiqiao,03,,25.403216,115.918945
cn,chiqiao,Chiqiao,07,,26.143795,119.28577
cn,chiqiaocun,Chiqiaocun,07,,26.143795,119.28577
cn,chiqiaogang,Chiqiaogang,02,,30.747824,121.088475
cn,chiqiaoshi,Chiqiaoshi,12,,29.806962,114.514553
cn,chiqi,Chiqi,04,,33.261628,120.352285
