say,Segizsay,07,,50.416667,53.166667
kz,shagalikha,Shagalikha,15,,50.066667,83.7
kz,shaganovo,Shaganovo,15,,47.033333,84.766667
kz,shagan,Shagan,04,,46.866667,57.75
kz,shagan,Shagan,14,,44.893056,64.962222
kz,shagan,Shagan,15,,49.05,78.35
kz,shagar,Shagar,04,,47.483333,60.733333
kz,shaga,Shaga,10,,44.033333,68.25
kz,shagen,Shagen,06,,46.65,49.55
kz,shaghalaly,Shaghalaly,16,,53.170556,69.130556
kz,shaghan,Shaghan,14,,44.893056,64.962222
kz,shaghan,Shaghan,15,,50.620833,79.248056
kz,shaglak,Shaglak,03,,50.633333,69.683333
kz,shaglinskaya,Shaglinskaya,16,,54.176111,69.525278
kz,shagyrlyoy,Shagyrlyoy,07,,50.1,52.7
kz,shagyrly,Shagyrly,06,,46.583333,49.016667
kz,shagyrly,Shagyrly,14,,43.845833,67.056667
kz,shailma,Shailma,13,,51.540833,61.635
kz,shaily,Shaily,04,,50.616667,56.083333
kz,shair,Shair,09,,44.266667,51.8
kz,shakan,Shakan,12,,49.823333,72.634167
kz,shakanskiye vyselki,Shakanskiye Vyselki,12,,49.823333,72.634167
kz,shaker,Shaker,07,,50.616667,50.116667
kz,shakey,Shakey,03,,51.108889,73.144444
kz,shakhabay,Shakhabay,12,,49.1375,67.750278
kz,shakhan,Shakhan,12,,49.823333,72.634167
kz,shakhat,Shakhat,07,,49.704722,49.416944
kz,shakhovskiy,Shakhovskiy,16,,54.696389,69.319444
kz,shakhovskoe,Shakhovskoe,16,,54.733333,69.354167
kz,shakhovskoye,Shakhovskoye,16,,54.733333,69.354167
kz,shakhta,Shakhta,12,,50.25,73.4
kz,shakhter,Shakhter,12,,50.481389,71.399167
kz,shakhterskoe,Shakhterskoe,12,,50.481389,71.399167
kz,shakhterskoye,Shakhterskoye,12,,50.481389,71.399167
kz,shakhtinsk,Shakhtinsk,12,52638,49.71,72.587222
kz,shakhty,Shakhty,03,,51.333333,71.1
kz,shakir,Shakir,07,,50.416667,49.033333
kz,shakirtam,Shakirtam,13,,49.766667,64.183333
kz,shakkanay,Shakkanay,01,,44.25,78.25
kz,shaklak,Shaklak,12,,49.633333,73.333333
kz,shakpak,Shakpak,13,,50.066667,65.15
kz,shakpak,Shakpak,16,,52.420556,66.963611
kz,shalabai,Shalabai,07,,49.2,52.833333
kz,shalabay,Shalabay,07,,49.2,52.833333
kz,shalabay,Shalabay,11,,51.533333,79.05
kz,shalakaryk,Shalakaryk,14,,44.7,65.633333
kz,shalaksa,Shalaksa,04,,50.416667,57.083333
kz,shalaksay,Shalaksay,04,,50.416667,57.083333
kz,shalbarkol',Shalbarkol',13,,50.933333,63.083333
kz,shalbar-kul',Shalbar-Kul',13,,50.933333,63.083333
kz,shalbar,Shalbar,04,,50.833333,61.933333
kz,shalbar,Shalbar,06,,46.65,49.533333
kz,shalber,Shalber,06,,46.65,49.533333
kz,shaldar,Shaldar,10,,42.816667,69.25
kz,shalday,Shalday,11,,51.925833,78.815833
kz,shalgaskaat,Shalgaskaat,14,,44.8025,63.409167
kz,shalgay,Shalgay,03,,50.7325,67.785556
kz,shalghay,Shalghay,03,,50.7325,67.785556
kz,shalginskiy,Shalginskiy,12,,47.335833,70.643611
kz,shalgobas,Shalgobas,10,,42.883333,69.483333
kz,shalgyn,Shalgyn,07,,50.133333,53.583333
kz,shalkar,Shalkar,03,,50.405833,69.9275
kz,shalkar,Shalkar,06,,48.033333,48.9
kz,shalkar,Shalkar,07,,50.521389,51.793889
kz,shalkar,Shalkar,16,,53.177222,68.516111
kz,shalkarskiy,Shalkarskiy,16,,53.177222,68.516111
kz,shalkiya,Shalkiya,14,,43.979444,67.332222
kz,shalkudysu,Shalkudysu,01,,43.1,79.95
kz,shalkudysu,Shalkudysu,17,,43.066667,71.85
kz,shal'men,Shal'men,14,,43.466667,67.5
kz,shalny,Shalny,11,,51.733333,78.516667
kz,shalobay,Shalobay,15,,49.716667,81.516667
kz,shalqar,Shalqar,03,,50.405833,69.9275
kz,shalqar,Shalqar,04,,47.833333,59.6
kz,shalqar,Shalqar,07,,50.521389,51.793889
kz,shalqar,Shalqar,16,,53.177222,68.516111
kz,shalqasqaat,Shalqasqaat,14,,44.8025,63.409167
kz,shalqiya,Shalqiya,12,,47.335833,70.643611
kz,shalqiya,Shalqiya,14,,43.979444,67.332222
kz,shamakhaysalyk,Shamakhaysalyk,03,,52.685,72.580556
kz,shamak,Shamak,06,,48.43,47.871111
kz,shamalgan,Shamalgan,01,,43.189722,76.529167
kz,shamankol',Shamankol',11,,50.466667,75.816667
kz,shamaudin,Shamaudin,01,,43.533333,78.383333
kz,shambe-bazar,Shambe-Bazar,10,,41.15,68.75
kz,shamlattobe,Shamlattobe,10,,41.366667,68.833333
kz,shamshudin,Shamshudin,01,,43.533333,78.383333
kz,shamyshkol',Shamyshkol',14,,45.925278,61.677222
kz,shana-ilek,Shana-Ilek,04,,50.533333,56.766667
kz,shana semey,Shana Semey,15,,50.416667,80.2
kz,shanatan,Shanatan,04,,50.783333,56.366667
kz,shana-ui,Shana-Ui,07,,49.266667,49.55
kz,shandak,Shandak,16,,54.435556,70.752778
kz,shandaykol',Shandaykol',14,,44.8,64.8
kz,shandy-bidayek,Shandy-Bidayek,11,,52.383333,78.616667
kz,shandy,Shandy,04,,50.416667,57.766667
kz,shandy,Shandy,11,,51.733333,78.516667
kz,shangal,Shangal,16,,53.276111,67.675
kz,shangar,Shangar,11,,51.220278,77.961944
kz,shangtobe,Shangtöbe,03,,52.458056,68.183889
kz,shankan,Shankan,03,,51.363333,67.270833
kz,shanke,Shanke,04,,49.166667,55
kz,shanrau,Shanrau,10,,41.382222,68.823333
kz,shansay,Shansay,04,,50.7,57.866667
kz,shantobe,Shantobe,03,,52.458056,68.183889
kz,shantyube,Shantyube,03,,52.458056,68.183889
kz,shapovalovka,Shapovalovka,17,,43.136944,71.642222
kz,sharakkop,Sharakkop,07,,51.366667,51.983333
kz,sharakol',Sharakol',13,,52.012778,62.754444
kz,sharal,Sharal,06,,46.666667,49.383333
kz,sharapkhana,Sharapkhana,10,,41.875833,69.434444
kz,sharavka,Sharavka,15,,50.4,83.433333
kz,sharbakh,Sharbakh,06,,48.183333,47.6
kz,sharbakty,Sharbakty,11,,51.389167,78.292778
kz,sharbaqty,Sharbaqty,11,,51.389167,78.292778
kz,sharbulak,Sharbulak,10,,41.766667,69.483333
kz,shardara,Shardara,10,,41.254722,67.969167
kz,sharkent,Sharkent,16,,53.770278,68.28
kz,sharovka,Sharovka,11,,53.342222,76.018056
kz,shar,Shar,15,9087,49.588611,81.045278
kz,sharsha,Sharsha,15,,49.783333,79.7
kz,shartandy,Shartandy,03,,51.700556,70.999444
kz,sharua,Sharua,01,,45.366667,74.516667
kz,sharu,Sharu,07,,49.9,47.9
kz,sharyk,Sharyk,16,,53.003056,67.217778
kz,sharyn,Sharyn,01,,43.776667,79.389167
kz,sharyp-kan,Sharyp-Kan,11,,51.7,78.733333
kz,sharypov,Sharypov,11,,53.549444,75.519167
kz,shashanay,Shashanay,01,,43.283333,79.316667
kz,shashke,Shashke,03,,52.3,68.033333
kz,shashkly,Shashkly,13,,51.133333,64.533333
kz,shashtaraz,Shashtaraz,13,,50.899167,62.428056
kz,shashubay,Shashubay,12,,46.816944,75.040278
kz,shatpakov,Shatpakov,07,,49.466667,46.883333
kz,shatpanov,Shatpanov,07,,49.466667,46.883333
kz,shatyrbay,Shatyrbay,01,,45.511667,80.335556
kz,shauildir,Shauildir,10,,42.784444,68.385278
kz,shaul'der,Shaul'der,10,,42.784444,68.385278
kz,shaul'derskiy,Shaul'derskiy,10,,42.7,68.2
kz,shaupten,Shaupten,06,,47.55,50.883333
kz,shausay,Shausay,04,,50.866667,58.166667
kz,shavrovka,Shavrovka,10,,42.65,70.133333
kz,shayan,Shayan,10,,43.029722,69.377222
kz,shaygus,Shaygus,06,,48.75,53.133333
kz,shaytankarasu,Shaytankarasu,03,,52.066667,72.9
kz,shaytuk,Shaytuk,07,,49.968333,49.431111
kz,shayyndykol',Shayyndykol',03,,50.485833,67.308056
kz,shchadyr,Shchadyr,07,,49.883333,49.05
kz,shchapo,Shchapo,07,,51.016667,51.183333
kz,shchapov,Shchapov,07,,51.016667,51.183333
kz,shchaut,Shchaut,07,,49.883333,49.05
kz,shcherbakovka,Shcherbakovka,15,,50.15,79.666667
kz,shcherbakovo,Shcherbakovo,13,,53.170278,64.204444
kz,shcherbakov,Shcherbakov,07,,50.8,50.733333
kz,shcherbakovskiy,Shcherbakovskiy,04,,50.416667,60.35
kz,shcherbakovskiy,Shcherbakovskiy,12,,49.745833,71.085833
kz,shcherbakovskiy,Shcherbakovskiy,15,,50.15,79.666667
kz,shcherbakovskoe,Shcherbakovskoe,12,,49.745833,71.085833
kz,shcherbakovskoye,Shcherbakovskoye,12,,49.745833,71.085833
kz,shcherbakty,Shcherbakty,11,,51.389167,78.292778
kz,shcherbinovka,Shcherbinovka,13,,52.975833,62.595278
kz,shcholak-doshchan,Shcholak-Doshchan,16,,54.583333,69.566667
kz,shchorsovskiy,Shchorsovskiy,16,,53.275556,70.480833
kz,shchors,Shchors,16,,53.275556,70.480833
kz,shchuch'e,Shchuch'e,16,,55.151944,68.509444
kz,shchuchinskiy,Shchuchinskiy,16,,52.966667,70.2
kz,shchuchinsk,Shchuchinsk,16,,52.933333,70.2
kz,shchuchkin,Shchuchkin,07,,50.383333,49.483333
kz,shchuch'ye,Shchuch'ye,16,,52.933333,70.2
kz,shebdarat,Shebdarat,11,,51.816667,76.9
kz,shebendovskiy,Shebendovskiy,13,,52.233333,61.966667
kz,shebir,Shebir,09,,44.822222,52.089444
kz,shebundy,Shebundy,15,,50.383333,80.966667
kz,shedrinka,Shedrinka,16,,52.633333,69.583333
kz,shekhovskiy,Shekhovskiy,16,,54.696389,69.319444
kz,shektash,Shektash,10,,43.416667,68.6
kz,shektas,Shektas,10,,43.416667,68.6
kz,shekubay,Shekubay,13,,52.283333,61.583333
kz,shelakterek,Shelakterek,13,,52.6,64.516667
kz,shelegino,Shelegino,16,,55.125,70.039167
kz,shelekhovka,Shelekhovka,15,,50.798889,80.496389
kz,shelekhovo,Shelekhovo,15,,50.798889,80.496389
kz,shelekhovskiy,Shelekhovskiy,15,,50.798889,80.496389
kz,shelek,Shelek,01,,43.597222,78.251111
kz,shel'kuduk,Shel'kuduk,07,,49.983333,52.366667
kz,shember,Shember,07,,49.316667,51.983333
kz,shembetsay,Shembetsay,07,,49.9,47.383333
kz,sheminovskiy,Sheminovskiy,13,,53.4,63.433333
kz,shemonaikha,Shemonaikha,15,20087,50.632778,81.905556
kz,shemonaikhinskiy,Shemonaikhinskiy,15,,50.651111,81.860278
kz,shenber,Shenber,12,,49.716667,67.416667
kz,shenber,Shenber,13,,49.766667,66.15
kz,shenbertal,Shenbertal,04,,48.716944,60.290833
kz,shenet,Shenet,03,,50.95,71.166667
kz,shengel'di,Shengel'di,10,,41.341111,68.710556
kz,shengel'dy,Shengel'dy,01,,43.985278,77.451389
kz,shengel'dy,Shengel'dy,10,,41.341111,68.710556
kz,shenggeldi,Shenggeldi,01,,43.985278,77.451389
kz,shepti,Shepti,03,,51.7,73.2
kz,sheptygak,Sheptygak,15,,50.2,80.45
kz,sheptykol'skiy,Sheptykol'skiy,16,,52.4,66.833333
kz,sheptykul'skiy,Sheptykul'skiy,16,,52.4,66.833333
kz,sherbakovka,Sherbakovka,15,,50.15,79.666667
kz,sherbakty,Sherbakty,11,,51.389167,78.292778
kz,sherbinovka,Sherbinovka,13,,52.975833,62.595278
kz,sherdayaq,Sherdayaq,15,,48.823889,84.002222
kz,sherdoyak,Sherdoyak,15,,48.823889,84.002222
kz,sherembetsay,Sherembetsay,07,,49.9,47.383333
kz,sheremet'evka,Sheremet'evka,15,,48.870278,80.501389
kz,sheremet'yevka,Sheremet'yevka,15,,48.870278,80.501389
kz,sherin,Sherin,01,,43.776667,79.389167
kz,sherkesbay,Sherkesbay,06,,48.05,53.833333
kz,sherstobitov,Sherstobitov,07,,50.05,50.833333
kz,shert,Shert,10,,43.533333,68.25
kz,sheshenqara,Sheshenqara,12,,49.963889,74.030833
kz,shest'desyat let oktyabrya,Shest'desyat Let Oktyabrya,10,,41.406389,68.784167
kz,shesterin,Shesterin,07,,49.716667,46.983333
kz,shestidesyatiletiya oktyabrya,Shestidesyatiletiya Oktyabrya,10,,41.173611,68.791667
kz,shestoy,Shestoy,06,,46.6,48.666667
kz,sheten,Sheten,07,,49.283333,52.8
kz,shet-irgiz,Shet-Irgiz,04,,48.720278,59.603333
kz,shetlasty,Shetlasty,15,,47.316667,83.35
kz,shetpe,Shetpe,09,11836,44.166667,52.116667
kz,shettobe,Shettobe,10,,42.5,69.016667
kz,shetulasty,Shetulasty,15,,47.316667,83.35
kz,shet-yrghyz,Shet-Yrghyz,04,,48.720278,59.603333
kz,shevchenko,Shevchenko,04,,49.323611,58.52
kz,shevchenko,Shevchenko,09,,43.65,51.2
kz,shevchenkovka,Shevchenkovka,03,,51.866667,66.866667
kz,shevchenkovka,Shevchenkovka,13,,51.916667,60.8
kz,shevchenkovski,Shevchenkovski,13,,51.916667,60.8
kz,shevchenkovskiy,Shevchenkovskiy,04,,50.883056,57.765278
kz,shevchenkovskiy,Shevchenkovskiy,13,,51.916667,60.8
kz,shevchenovka,Shevchenovka,13,,51.916667,60.8
kz,shibarshiy,Shibarshiy,04,,48.85,54.383333
kz,shibayevskoye,Shibayevskoye,04,,50.066667,57.133333
kz,shibindy,Shibindy,04,,48.216667,61.95
kz,shiblak,Shiblak,04,,48.266667,55.1
kz,shibyndy,Shibyndy,07,,49.9,53.133333
kz,shibyndy,Shibyndy,15,,49.416667,82.933333
kz,shidertinskiy,Shidertinskiy,11,,52.516667,75.35
kz,shidertinskoye,Shidertinskoye,12,,50.645833,73.627222
kz,shiderti,Shiderti,11,,51.717778,74.68
kz,shiderti,Shiderti,12,,50.645833,73.627222
kz,shiderty,Shiderty,11,,51.566667,74.5
kz,shieli,Shieli,14,29832,44.166667,66.75
kz,shiganak,Shiganak,11,,52.666667,74.306944
kz,shiganak,Shiganak,14,,46.283333,59.5
kz,shigankol',Shigankol',07,,49.915556,52.798889
kz,shigan,Shigan,11,,51.5,77.466667
kz,shigilek,Shigilëk,15,,48.9,82.416667
kz,shigirly-togay,Shigirly-Togay,04,,49.366667,56.033333
kz,shiili,Shiili,04,,50.633333,56.133333
kz,shilaja-kossa,Shilaja-Kossa,06,,46.816667,53.2
kz,shilesha,Shilesha,04,,48.668889,56.141111
kz,shilibasat,Shilibasat,04,,47.749167,59.161111
kz,shilibastau,Shilibastau,01,,43.733333,76.116667
kz,shili-bast,Shili-Bast,04,,47.749167,59.161111
kz,shilikemer,Shilikemer,01,,43.511111,76.891667
kz,shilikkemer,Shilikkemer,01,,43.511111,76.891667
kz,shilik,Shilik,06,,47.1,50.983333
kz,shilik,Shilik,10,,42.866667,68.683333
kz,shilik,Shilik,11,,52.870833,74.646944
kz,shilik,Shilik,12,,48.398333,75.392778
kz,shilikta,Shilikta,04,,50.466667,58.133333
kz,shilikti,Shilikti,03,,51.518611,69.656667
kz,shilikti,Shilikti,04,,47.509722,60.665
kz,shilikti,Shilikti,11,,52.870833,74.646944
kz,shilikti,Shilikti,15,,47.166667,84.483333
kz,shilikty,Shilikty,03,,51.518611,69.656667
kz,shilikty,Shilikty,04,,50.238611,62.045
kz,shilikty,Shilikty,15,,47.166667,84.483333
kz,shilim,Shilim,12,,48.398333,75.392778
kz,shili,Shili,13,,50.015278,66.086111
kz,shiliz,Shiliz,12,,48.398333,75.392778
kz,shil'naya balka,Shil'naya Balka,07,,50.576389,49.003611
kz,shil'-toay,Shil'-Toay,07,,50.716667,51.833333
kz,shil'togay,Shil'togay,07,,50.716667,51.833333
kz,shimboget,Shimboget,14,,44.9,64.783333
kz,shimkara,Shimkara,15,,49.738889,82.222222
kz,shimkora,Shimkora,15,,49.738889,82.222222
kz,shimpek,Shimpek,17,,45,74.033333
kz,shimyrbay,Shimyrbay,10,,41.676944,68.820833
kz,shinet,Shinet,03,,50.95,71.166667
kz,shingil',Shingil',13,,53.251111,61.773611
kz,shingozha,Shingozha,15,,47.743611,80.6375
kz,shingystay,Shingystay,15,,49.185,85.873889
kz,shinkara,Shinkara,15,,49.738889,82.222222
kz,shinrau,Shinrau,15,,49.883333,79.066667
kz,shinyrau,Shinyrau,11,,51.366667,77.35
kz,shinzhaly,Shinzhaly,01,,45.666667,80.816667
kz,shipkul',Shipkul',11,,54.047778,75.841944
kz,shipovo,Shipovo,07,,51.116667,50.266667
kz,shirau,Shirau,11,,51.433333,78.683333
kz,shirikkayyn,Shirikkayyn,15,,49.430833,84.286944
kz,shirokaya,Shirokaya,07,,50.916667,50.5
kz,shirokovskiy,Shirokovskiy,03,,52.25,68.783333
kz,shirokoye,Shirokoye,07,,50.916667,50.5
kz,shiryavski,Shiryavski,07,,50.866667,50.033333
kz,shiryayevskiy,Shiryayevskiy,07,,50.866667,50.033333
kz,shiryayevskoye,Shiryayevskoye,07,,50.866667,50.033333
kz,shiryldak,Shiryldak,10,,41.4125,68.881667
kz,shishkinskiy,Shishkinskiy,13,,53.62,63.375556
kz,shishkovskiy,Shishkovskiy,13,,53.166667,62.85
kz,shitagach,Shitagach,12,,48.819722,75.921667
kz,shit-tyube,Shit-Tyube,10,,42.5,69.016667
kz,shiybulak,Shiybulak,04,,48.266667,55.1
kz,shiybut,Shiybut,01,,43.15,79.866667
kz,shiyelisabak,Shiyelisabak,04,,50.1,60.366667
kz,shiyeli,Shiyeli,03,,52.666667,70.416667
kz,shiyeli,Shiyeli,13,,54.015,64.184444
kz,shiyely,Shiyely,03,,52.666667,70.416667
kz,shiyen,Shiyen,01,,43.166667,75.916667
kz,shiyliasha,Shiyliasha,04,,48.668889,56.141111
kz,shiylibasot,Shiylibasot,04,,47.749167,59.161111
kz,shiyli,Shiyli,04,,50.616667,56.083333
kz,shiyli,Shiyli,11,,51.8,75.833333
kz,shiyli,Shiyli,13,,50.015278,66.086111
kz,shiyli,Shiyli,15,,50.166667,80.133333
kz,shiylisor,Shiylisor,13,,50.433333,62.6
kz,shiylitogay,Shiylitogay,04,,49.366667,56.033333
kz,shiyliyskiy,Shiyliyskiy,03,,52.083333,73.016667
kz,shiy,Shiy,07,,50.5,52.766667
kz,shiy,Shiy,15,,49.602778,78.739444
kz,shizhaga,Shizhaga,14,,46.95,61.616667
kz,shkola,Shkola,06,,46.55,48.816667
kz,shkol basy,Shkol Basy,07,,49.583333,47.65
kz,shkol'nyy aul,Shkol'nyy Aul,07,,48.825,47.400833
kz,shkol'nyy,Shkol'nyy,07,,48.825,47.400833
kz,shkonur,Shkonur,15,,51.283333,78.95
kz,shlyapin,Shlyapin,07,,50.4,50.933333
kz,shmakhov,Shmakhov,07,,49.483333,46.966667
kz,shmanbay,Shmanbay,07,,49.9,52.85
kz,shmelev log,Shmelëv Log,15,,49.963889,82.661111
kz,shobankol,Shobanköl,13,,51.939722,63.0675
kz,shoban,Shoban,13,,50.222778,63.996944
kz,shoba,Shoba,06,,48.016667,53.783333
kz,shobty-gak,Shobty-Gak,15,,50.2,80.45
kz,shobtykhak,Shobtykhak,15,,50.2,80.45
kz,shoburbala,Shoburbala,06,,46.683333,53.366667
kz,shoindy,Shoindy,12,,49.35,72.066667
kz,shoka,Shoka,03,,52.133333,73.816667
kz,shokat,Shokat,06,,48.3,54.9
kz,shokat,Shokat,11,,52.316667,77.3
