ngchiang,Lungchiang,04,,23.3997222,120.1744444
tw,lungpuli,Lungpuli,04,,24.95,121.3666667
tw,lungshanchiao,Lungshanchiao,04,,23.4166667,120.5
tw,lungshanchiaotsun,Lungshanchiaotsun,04,,23.4166667,120.5
tw,lungshanli,Lungshanli,04,,24.0833333,120.55
tw,lungshan,Lungshan,03,,25.05,121.5
tw,lungshan,Lungshan,04,,24.25,120.8666667
tw,lungsheng,Lungsheng,04,,22.5166667,120.5833333
tw,lungshou,Lungshou,04,,25.0166667,121.4
tw,lungshoutsun,Lungshoutsun,04,,25.0166667,121.4
tw,lungshui,Lungshui,02,,22.65,120.2666667
tw,lungtanchuang,Lungtanchuang,04,,24.8666667,121.2
tw,lungtanli,Lungtanli,04,,23.8666667,120.5666667
tw,lungtan,Lungtan,04,,22.9333333,120.4666667
tw,lungtantsun,Lungtantsun,04,,23.6833333,120.2333333
tw,lungtantu,Lungtantu,04,,25.1166667,121.8
tw,lungteli,Lungteli,04,,23.4333333,120.3833333
tw,lungte,Lungte,04,,23.4333333,120.3833333
tw,lungteng,Lungteng,04,,24.3666667,120.7666667
tw,lungtengtsun,Lungtengtsun,04,,24.3666667,120.7666667
tw,lungtien,Lungtien,04,,22.9166667,121.1
tw,lungtientsun,Lungtientsun,04,,22.9,121.1166667
tw,lungtsun,Lungtsun,04,,22.5,120.95
tw,lungtuli,Lungtuli,04,,22.8833333,120.5666667
tw,lungtu,Lungtu,04,,22.8833333,120.5666667
tw,lungtungkeng,Lungtungkeng,04,,25.1111111,121.9186111
tw,lungtungli,Lungtungli,04,,22.5333333,120.55
tw,lungtung,Lungtung,04,,24.1833333,120.5333333
tw,lungtungtsun,Lungtungtsun,04,,24.1833333,120.5333333
tw,lungtutsun,LungTuTsun,04,,22.8666667,120.5666667
tw,lungtzuchiaoli,Lungtzuchiaoli,04,,23.95,120.5
tw,lungtzuchiao,Lungtzuchiao,04,,23.95,120.4833333
tw,lungtzunei,Lungtzunei,04,,23.3166667,120.45
tw,lungtzupu,Lungtzupu,04,,21.95,120.8166667
tw,lungwen,Lungwen,04,,22.7833333,120.45
tw,lungyaitsun,LungYaiTsun,04,,23.7166667,120.3166667
tw,lungyanghsin,Lungyanghsin,04,,24.4833333,120.7666667
tw,lungyenchai,Lungyenchai,04,,22.7333333,120.4166667
tw,lungyenchiao,Lungyenchiao,04,,22.8333333,120.6
tw,lungyenlin,Lungyenlin,04,,23.95,120.7666667
tw,lungyen,Lungyen,04,,23.6,120.6166667
tw,lungyentso,Lungyentso,04,,23.6247222,120.3186111
tw,lungyentsun,Lungyentsun,04,,23.6,120.6166667
tw,lungyin,Lungyin,04,,24.85,121.2
tw,lungyuan,Lungyüan,04,,25.1319444,121.4494444
tw,lungyuantsun,Lungyüantsun,04,,25.1319444,121.4494444
tw,lunhou,Lunhou,04,,23.7833333,120.25
tw,lunhoutsun,Lunhoutsun,04,,23.7833333,120.25
tw,lunhsia,Lunhsia,04,,24.0166667,120.4166667
tw,lunhsin,Lunhsin,04,,22.6666667,120.5166667
tw,lunlinchiao,Lunlinchiao,01,,26.1666667,119.9166667
tw,lunlung,Lunlung,04,,23.8333333,120.9
tw,lunmei,Lunmei,04,,23.9166667,120.5
tw,lunmeitsun,Lunmeitsun,04,,23.9166667,120.5
tw,lunnan,Lunnan,04,,23.6,120.35
tw,lunnei,Lunnei,04,,23.6833333,120.35
tw,lunpei,Lunpei,04,,23.6666667,120.15
tw,lunpeitsun,Lunpeitsun,04,,23.6666667,120.15
tw,lunpi,Lunpi,04,,24.6833333,121.6
tw,lunping,Lunping,04,,24.9830556,121.1647222
tw,lunpingtsun,Lunpingtsun,04,,25.0166667,121.15
tw,lunpishe,Lunpishe,04,,24.6833333,121.6
tw,lunpitzu,Lunpitzu,04,,24.6833333,121.6
tw,lunshangli,Lunshangli,04,,22.6833333,120.5333333
tw,lunshang,Lunshang,04,,22.6833333,120.5333333
tw,lunshantsun,Lunshantsun,04,,23.4333333,121.3333333
tw,luntien,Luntien,04,,23.2166667,121.25
tw,luntienshe,Luntienshe,04,,23.2166667,121.25
tw,luntingli,Luntingli,04,,22.6,120.45
tw,lunting,Lunting,04,,22.6,120.45
tw,luntingtsun,Luntingtsun,04,,22.6,120.45
tw,luntingwei,Luntingwei,04,,22.5833333,120.45
tw,luntungli,Luntungli,04,,22.5333333,120.55
tw,luntung,Luntung,04,,22.5333333,120.55
tw,luntzuchiaoli,Luntzuchiaoli,04,,23.95,120.5
tw,luntzuchiao,Luntzuchiao,04,,23.8833333,120.45
tw,luntzuchiaoting,Luntzuchiaoting,04,,23.95,120.5
tw,luntzuliao,Luntzuliao,04,,23.65,120.4833333
tw,luntzu,Luntzu,04,,22.5833333,120.5166667
tw,luntzuping,Luntzuping,04,,24.0666667,120.5166667
tw,luntzuting,Luntzuting,04,,22.4666667,120.4333333
tw,luntzutou,Luntzutou,04,,25.0166667,121.2333333
tw,luntzutso,Luntzutso,04,,24.0,120.5166667
tw,luntzutsun,Luntzutsun,04,,23.6,120.35
tw,luntzuwei,Luntzuwei,04,,22.6333333,120.4666667
tw,lunweiliao,Lunweiliao,04,,24.9666667,121.6333333
tw,lunwei,Lunwei,04,,23.5833333,120.3833333
tw,lunweitzu,Lunweitzu,04,,22.85,120.3833333
tw,lunwkwan,Lunwkwan,04,,22.8833333,120.5666667
tw,lunyali,Lunyali,04,,23.95,120.5833333
tw,lunya,Lunya,04,,23.9,120.5833333
tw,lunyatsun,Lunyatsun,04,,23.9,120.5833333
tw,lupengshe,Lupengshe,04,,24.3833333,120.9666667
tw,lupi,Lupi,04,,24.4666667,121.7666667
tw,lupisha,Lupisha,04,,24.4666667,121.7666667
tw,lupishe,Lupishe,04,,24.4666667,121.7666667
tw,lupu,Lupu,04,,22.8833333,120.4166667
tw,lusanwu,Lusanwu,04,,24.2,121.45
tw,lushakeng,Lushakeng,04,,24.0666667,120.5666667
tw,lushang,Lushang,04,,23.8947222,120.325
tw,lushangtso,Lushangtso,04,,23.8947222,120.325
tw,lushangtsun,Lushangtsun,04,,23.8947222,120.325
tw,lushan,Lushan,04,,24.0333333,121.1833333
tw,lushanwenchuan,Lushanwenchüan,04,,24.0166667,121.1833333
tw,lushui,Lüshui,04,,24.1833333,121.5166667
tw,lussuhsiu,Lussuhsiu,04,,24.95,121.7833333
tw,lussuyu,LuSsuYu,04,,24.95,121.7833333
tw,lutaohsiang,Lütaohsiang,04,,22.6666667,121.4833333
tw,lutao,Lütao,04,,22.6666667,121.4666667
tw,lutaoyang,Lutaoyang,04,,23.15,120.4833333
tw,lutenghu,Lutenghu,04,,23.4,120.4666667
tw,lutsaochuang,Lutsaochuang,04,,23.4144444,120.3047222
tw,lutsao,Lutsao,04,,23.4144444,120.3047222
tw,lutsokeng,Lutsokeng,04,,23.5166667,120.5166667
tw,lutso,Lütso,01,,24.485,118.3922222
tw,lutso,Lutso,04,,23.4833333,120.4833333
tw,lutsowa,Lutsowa,04,,23.5166667,120.5166667
tw,lutsun,Lutsun,04,,24.1166667,120.6833333
tw,lutung,Lutung,04,,23.2833333,120.3333333
tw,lutungtsun,Lutungtsun,04,,23.4347222,120.3147222
tw,lutushihkeng,Lutushihkeng,04,,24.1166667,120.7666667
tw,lutzuchiangliao,Lutzuchiangliao,04,,24.2,120.5666667
tw,lutzuchiao,Lutzuchiao,04,,23.4666667,120.5166667
tw,lutzuhsiu,Lutzuhsiu,04,,24.95,121.7833333
tw,lutzukeng,Lutzukeng,04,,23.7333333,120.7166667
tw,luyeh,Luyeh,04,,22.9,121.1166667
tw,luyehtsun,Luyehtsun,04,,22.9,121.1166667
tw,maanliao,Maanliao,04,,24.1666667,120.8166667
tw,maanlun,Maanlun,04,,23.8833333,120.7833333
tw,maanshan,Maanshan,04,,21.9666667,120.75
tw,machang,Machang,04,,22.7833333,120.4166667
tw,machiahai,Machiahai,04,,23.35,121.45
tw,machialu,Machialu,04,,23.2333333,121.2833333
tw,machia,Machia,04,,22.6833333,120.6333333
tw,machiashe,Machiashe,04,,22.6833333,120.6833333
tw,machihchiaaoshe,Machihchiaaoshe,04,,22.3333333,120.6833333
tw,machih,Machih,04,,22.3333333,120.6833333
tw,machiliao,Machiliao,04,,24.5166667,120.8166667
tw,machipu,Machipu,04,,23.5,120.5333333
tw,machiuta,Machiuta,04,,23.4166667,121.3666667
tw,machouhou,Machouhou,04,,23.4333333,120.2666667
tw,machou,Machou,04,,22.9333333,120.3166667
tw,machuangpu,Machuangpu,04,,24.1333333,120.6333333
tw,machuchiao,Machuchiao,04,,23.8833333,120.8333333
tw,machukeng,Machukeng,04,,24.15,120.85
tw,machuyuan,Machuyüan,04,,22.75,120.4333333
tw,maerh,Maerh,04,,22.7166667,120.7
tw,maerhtsun,Maerhtsun,04,,22.7166667,120.7
tw,mafo,Mafo,04,,23.6333333,121.4166667
tw,mafotsun,Mafotsun,04,,23.6333333,121.4166667
tw,mafu,Mafu,04,,24.7333333,121.1833333
tw,mafushe,Mafushe,04,,24.7333333,121.1833333
tw,mahai,Mahai,04,,22.9166667,121.1
tw,mahsing,Mahsing,04,,24.0666667,120.4833333
tw,mahsingtsun,Mahsingtsun,04,,24.0666667,120.4833333
tw,mahsin,MaHsin,04,,24.0666667,120.4833333
tw,maifuping,Maifuping,04,,24.3,120.9
tw,maifupingshe,Maifupingshe,04,,24.3,120.9
tw,maihsutso,Maihsütso,04,,24.0166667,120.4
tw,mailiao,Mailiao,04,,23.7502778,120.2544444
tw,maipalai,Maipalai,04,,24.6166667,121.1
tw,maipamaishe,Maipamaishe,04,,24.6166667,121.1
tw,maishan,Maishan,04,,24.8833333,120.9833333
tw,maishujen,Maishujen,04,,24.7166667,121.2166667
tw,maitso,Maitso,04,,24.0166667,120.4
tw,maitsotsun,Maitsotsun,04,,24.0166667,120.4
tw,maiyutso,Maiyütso,04,,24.0166667,120.4
tw,majuchuang,Majuchuang,04,,23.4333333,121.3666667
tw,majuli,Majuli,04,,23.4333333,121.3666667
tw,maju,Maju,04,,23.4333333,121.3666667
tw,makang,Makang,04,,25.0058333,121.9952778
tw,makangtso,Makangtso,04,,24.2166667,120.6666667
tw,makouli,Makouli,04,,23.1797222,120.2180556
tw,makou,Makou,04,,23.1797222,120.2180556
tw,makuang,Makuang,04,,23.7063889,120.3575
tw,makung,Makung,04,51043,23.5666667,119.5666667
tw,makungtso,Makungtso,04,,23.7063889,120.3575
tw,malan,Malan,04,,22.7666667,121.1166667
tw,malawuyang,Malawuyang,04,,24.4666667,121.4
tw,maliaoli,Maliaoli,04,,23.5013889,120.3713889
tw,maliao,Maliao,04,,23.2666667,120.2
tw,malienchiangkou,Malienchiangkou,04,,25.18,121.6897222
tw,malienchiangnei,Malienchiangnei,04,,25.1652778,121.6652778
tw,malienkang,Malienkang,04,,25.1652778,121.6652778
tw,malienkangnei,Malienkangnei,04,,25.1652778,121.6652778
tw,malikan,Malikan,04,,23.1666667,121.2166667
tw,malingkeng (1),Malingkeng (1),04,,25.1333333,121.6666667
tw,malingkeng (2),Malingkeng (2),04,,25.1166667,121.6833333
tw,malingkeng,Malingkeng,04,,25.1166667,121.6833333
tw,malin,Malin,04,,24.7833333,121.7666667
tw,malinshe,Malinshe,04,,24.6,120.95
tw,malintso,Malintso,04,,24.85,120.9833333
tw,malipu,Malipu,04,,24.2166667,120.7833333
tw,maliwen,Maliwen,04,,23.4666667,121.35
tw,maliwu,Maliwu,04,,22.6,120.9666667
tw,malungtan,Malungtan,04,,24.1666667,120.6166667
tw,malun,Malun,04,,24.2166667,121.05
tw,malunshe,Malunshe,04,,24.2166667,121.05
tw,mamawei,Mamawei,04,,22.8833333,121.2
tw,mamei,Mamei,04,,24.6666667,121.3166667
tw,mamiao,Mamiao,04,,23.0,120.2833333
tw,mamiaotsun,Mamiaotsun,04,,23.0,120.2833333
tw,maming,Maming,04,,23.7,120.2833333
tw,mamingpu,Mamingpu,04,,24.3333333,120.65
tw,mamingshan,Mamingshan,04,,23.7,120.2666667
tw,mamingtan,Mamingtan,03,,24.9833333,121.55
tw,mamingtsun,Mamingtsun,04,,23.7,120.2833333
tw,manapang,Manapang,04,,24.35,120.9166667
tw,manapangshe,Manapangshe,04,,24.35,120.9166667
tw,manchou,Manchou,04,,22.0222222,120.8383333
tw,mangpu,Mangpu,04,,24.5666667,120.8166667
tw,mangtzumang,Mangtzumang,04,,23.1,120.45
tw,mantao,Mantao,04,,22.9333333,120.75
tw,mantaoshe,Mantaoshe,04,,22.9333333,120.75
tw,mantolungshe,Mantolungshe,04,,22.9333333,120.75
tw,mantzu,Mantzu,04,,25.0666667,121.2
tw,maoan,Maoan,04,,24.5333333,121.45
tw,maoao,Maoao,04,,25.0136111,121.9863889
tw,maochang,Maochang,04,,25.2666667,121.5333333
tw,maochangtsun,Maochangtsun,04,,25.2666667,121.5333333
tw,maochiangwei,Maochiangwei,04,,23.2166667,120.2833333
tw,maoerhkan,Maoerhkan,04,,23.1166667,120.4333333
tw,maoerhting,Maoerhting,04,,24.8666667,120.95
tw,maoerhyu,Maoerhyü,04,,23.8,120.3
tw,maohsiehhang,Maohsiehhang,04,,23.4,120.3333333
tw,maohsiehhsing,Maohsiehhsing,04,,23.4,120.3333333
tw,maohsiehhsueh,Maohsiehhsüeh,04,,23.9,120.9166667
tw,maohsingtien,Maohsingtien,04,,25.2666667,121.4833333
tw,maoisantsun,Maoisantsun,04,,24.2,120.6666667
tw,maoitsun,Maoitsun,04,,24.5,121.1
tw,maokangwei,Maokangwei,04,,23.2166667,120.2833333
tw,maokung,Maokung,03,,24.9666667,121.5833333
tw,maokung,Maokung,04,,23.6,121.5166667
tw,maolan,Maolan,04,,23.8833333,120.9166667
tw,maolin hsiang,Maolin Hsiang,04,,22.9166667,120.75
tw,maolin,Maolin,04,,22.8883333,120.6652778
tw,maolokeng,Maolokeng,04,,24.0166667,120.6166667
tw,maolukeng,Maolukeng,04,,24.0166667,120.6166667
tw,maolun,Maolun,04,,23.8833333,120.9166667
tw,maomeng,Maomeng,04,,24.4333333,120.65
tw,maopi,Maopi,04,,21.9333333,120.7166667
tw,maopitou,Maopitou,04,,21.9216667,120.7372222
tw,maopu (1),Maopu (1),04,,24.8,121.7833333
tw,maopu (2),Maopu (2),04,,24.8,121.7666667
tw,maopukeng,Maopukeng,04,,23.95,120.9333333
tw,maopu,Maopu,04,,22.9666667,120.4333333
tw,maopushe,Maopushe,04,,24.6166667,121.1
tw,maoputou,Maoputou,04,,25.2166667,121.6
tw,maopuwei,Maopuwei,04,,24.65,121.7333333
tw,maoshe,Maoshe,04,,23.3166667,120.3166667
tw,maoshengli,Maoshengli,04,,24.1,120.5333333
tw,maoshengtso,Maoshengtso,04,,24.1,120.5333333
tw,maotsaoshan,Maotsaoshan,04,,22.9166667,120.3833333
tw,maotzukeng,Maotzukeng,04,,22.0333333,120.7333333
tw,maotzuliao,Maotzuliao,04,,24.7166667,121.8166667
tw,maotzupu,Maotzupu,04,,23.55,120.5666667
tw,maowa,Maowa,04,,22.9166667,120.5833333
tw,maowao,MaoWao,04,,22.9166667,120.5833333
tw,maoweichi,Maoweichi,04,,25.0833333,121.3333333
tw,maoyu,Maoyü,04,,24.4333333,120.65
tw,mapihao,Mapihao,04,,24.3627778,120.9588889
tw,mapu,Mapu,04,,23.25,120.3833333
tw,mapushupai,Mapushupai,04,,24.7,121.0666667
tw,mapushutao,Mapushutao,04,,24.7,121.0666667
tw,maputsun,Maputsun,04,,23.6833333,120.2833333
tw,mashakou,Mashakou,04,,23.2186111,120.0944444
tw,mashankou,Mashankou,04,,23.2186111,120.0944444
tw,mashan,Mashan,04,,25.0686111,121.3636111
tw,mashantso,Mashantso,04,,23.7166667,120.2333333
tw,mashihkeng,Mashihkeng,04,,24.9666667,121.6833333
tw,mashih,Mashih,04,,24.6833333,121.3
tw,massuting,Massuting,04,,25.1833333,121.6333333
tw,masuchiangkou,Masuchiangkou,04,,25.18,121.6897222
tw,masuchiangnei,Masuchiangnei,04,,25.1652778,121.6652778
tw,mataian,Mataian,04,,23.6666667,121.4166667
tw,matailin,Matailin,04,,23.45,121.3833333
tw,matai,Matai,04,,24.6666667,121.1833333
tw,matang,Matang,04,,24.4166667,121.35
tw,matouchen,Matouchen,04,,23.1858333,120.2463889
tw,matoukou,Matoukou,04,,23.1797222,120.2180556
tw,matouliao,Matouliao,04,,23.1166667,120.1666667
tw,matoulun,Matoulun,04,,24.2666667,120.55
tw,matou,Matou,04,46728,23.1858333,120.2463889
tw,matoushan,Matoushan,04,,23.3141667,120.5863889
tw,matoutien,Matoutien,04,,23.4,120.3333333
tw,matsao,Matsao,03,,25.1794444,121.5691667
tw,matsoli,Matsoli,04,,23.9333333,120.4833333
tw,matsukung,Matsukung,04,,23.0369444,120.1177778
tw,matsu,Matsu,01,,26.1588889,119.9219444
tw,matsumiao,Matsumiao,04,,23.0,120.2833333
tw,matsupu,Matsupu,04,,23.6833333,120.2833333
tw,matsutsun,Matsutsun,01,,26.1588889,119.9219444
tw,matuan,Matuan,04,,24.45,120.9
tw,matzulun,Matzulun,04,,23.8833333,120.7833333
tw,matzumiao,Matzumiao,04,,23.0,120.2833333
tw,mawan,Mawan,04,,24.6833333,121.3
tw,mawanshe,Mawanshe,04,,24.6833333,121.3
tw,mawei,MaWei,04,,23.6833333,120.6
tw,mawutu,Mawutu,04,,24.7666667,121.2166667
tw,mawutushe,Mawutushe,04,,24.7666667,121.2333333
tw,maya,Maya,04,,22.8883333,120.6652778
tw,mayatsun,Mayatsun,04,,22.8883333,120.6652778
tw,mayuangkeng,Mayüangkeng,04,,24.5666667,120.7833333
tw,mayuankeng,Mayüankeng,04,,24.5666667,120.7833333
tw,mayuanliao,Mayüanliao,04,,23.5833333,120.4666667
tw,mayuan,Mayüan,04,,23.55,121.3666667
tw,mayuantou,Mayüantou,04,,24.15,120.65
tw,mayuantsun,Mayüantsun,04,,23.55,121.3666667
tw,mayuantu,Mayüantu,04,,24.7833333,121.0333333
tw,mayuliao,Mayüliao,04,,23.5013889,120.3713889
tw,mayutzuliao,Mayutzuliao,04,,23.2666667,120.2
tw,meichi,Meichi,04,,24.0166667,121.1
tw,meichouchuang,Meichouchuang,04,,23.8666667,120.5666667
tw,meichouli,Meichouli,04,,23.8666667,120.5666667
tw,meichuang,Meichuang,04,,22.9833333,120.65
tw,meifangli,Meifangli,04,,23.95,120.4333333
tw,meifang,Meifang,04,,23.95,120.4333333
tw,meifengli,Meifengli,04,,23.2213889,120.1908333
tw,meifeng,Meifeng,04,,23.2213889,120.1908333
tw,meifengtsun,Meifengtsun,04,,23.2213889,120.1908333
tw,meifu,Meifu,04,,24.7333333,121.7833333
tw,meifutsun,Meifutsun,04,,24.7333333,121.7833333
tw,meiholi,Meiholi,04,,23.2202778,120.1980556
tw,meiho,Meiho,04,,22.6,120.55
tw,meihotsun,Meihotsun,04,,22.6,120.55
tw,meihsi,Meihsi,04,,24.0166667,121.1
tw,meihsu,Meihsü,04,,22.2666667,120.7333333
tw,meihuatsun,Meihuatsun,04,,24.6833333,121.2
tw,meijenli,Meijenli,04,,24.2333333,120.55
tw,meilan,Meilan,04,,23.0333333,121.2833333
tw,meilantsun,Meilantsun,04,,23.2413889,120.8155556
tw,meili,Meili,04,,24.9,121.15
tw,meilin,Meilin,04,,23.7033333,120.5977778
tw,meilintsun,Meilintsun,04,,23.7033333,120.5977778
tw,meilun,Meilun,04,,22.6,120.5333333
tw,meiluntsun,Meiluntsun,04,,22.6,120.5333333
tw,meimu,Meimu,04,,24.0666667,121.15
tw,meinanli,Meinanli,04,,24.4833333,120.6666667
tw,meinan,Meinan,04,,24.4833333,120.6666667
tw,meinung,Meinung,04,43005,22.9008333,120.5433333
tw,meipu,Meipu,04,,25.0486111,121.2180556
tw,meishali,Meishali,04,,23.15,121.3833333
tw,meishalu,Meishalu,04,,23.15,121.3833333
tw,meishanli,Meishanli,04,,24.7833333,120.9166667
tw,meishan,Meishan,04,,23.15,121.3833333
tw,meishantsun,Meishantsun,04,,23.2794444,120.8305556
tw,meishe,Meishe,04,,24.2333333,120.8166667
tw,meishih,Meishih,01,,26.1455556,119.9402778
tw,meishihtsun,Meishihtsun,01,,26.1455556,119.9402778
tw,meishuchiao,Meishuchiao,04,,24.4666667,120.6833333
tw,meishui,Meishui,04,,24.0666667,121.15
tw,meishuping,Meishuping,04,,25.1,121.85
tw,meitan,Meitan,04,,24.4333333,121.7
tw,meitanshe,Meitanshe,04,,24.4333333,121.7
tw,meitao,Meitao,04,,24.0666667,120.9166667
tw,meitzuchiao,Meitzuchiao,04,,23.9833333,120.9666667
tw,meitzuchi,Meitzuchi,04,,24.0666667,120.9333333
tw,meitzuliao (1),Meitzuliao (1),04,,24.9666667,121.7666667
tw,meitzuliao (2),Meitzuliao (2),04,,25.0,121.8833333
tw,meitzuliao,Meitzuliao,04,,24.95,121.5666667
tw,meitzulin,Meitzulin,04,,24.0666667,120.9333333
tw,meitzu,Meitzu,04,,24.2666667,120.8
tw,meitzushuchiao,Meitzushuchiao,04,,24.2666667,120.8
tw,meitzuto,Meitzuto,04,,23.9333333,120.7333333
tw,meitzutso,Meitzutso,04,,23.45,120.3333333
tw,meitzutsotsun,MeiTzuTsoTsun,04,,23.45,120.3333333
tw,meitzuyuan,Meitzuyüan,04,,23.75,120.3833333
tw,meiyatsun,Meiyatsun,04,,23.8833333,120.5833333
tw,meiyenshan,Meiyenshan,04,,25.0666667,121.9166667
tw,meiyuan,Meiyüan,04,,22.7,120.6
tw,meiyuantsun,Meiyüantsun,04,,24.0666667,120.9833333
tw,meiyuehli,Meiyüehli,04,,24.9,121.2833333
tw,meiyueh,Meiyüeh,04,,24.9,121.2833333
tw,mengcheng,Mengcheng,04,,23.1166667,120.3666667
tw,mengchiakeng,Mengchiakeng,04,,25.07,121.6669444
tw,mengchia,Mengchia,03,,25.0333333,121.4833333
tw,mengchia,Mengchia,04,,25.0666667,121.1666667
tw,menghsiakeng,Menghsiakeng,04,,25.07,121.6669444
tw,mengli,Mengli,04,,22.6666667,120.35
tw,menglitsun,Menglitsun,04,,22.6666667,120.35
tw,mengtzulan,Mengtzulan,04,,23.4333333,121.3666667
tw,menli,MenLi,04,,22.6666667,120.35
tw,menlitsun,MenLiTsun,04,,22.6666667,120.35
tw,menpaitan,Menpaitan,04,,23.85,120.8666667
tw,miaochien,Miaochien,04,,23.9333333,120.9666667
tw,miaohou,Miaohou,04,,23.4333333,120.4666667
tw,miaokou,Miaokou,04,,25.05,121.2833333
tw,miaolichieh,Miaolichieh,04,,24.5588889,120.8219444
tw,miaolihsien,Miaolihsien,04,,24.5588889,120.8219444
tw,miaoli,Miaoli,04,88945,24.5588889,120.8219444
tw,miaolun,Miaolun,04,,23.5833333,120.4
tw,miaoluntsun,Miaoluntsun,04,,23.5833333,120.4
tw,miaomei,Miaomei,03,,25.0027778,121.5019444
tw,miaomeitsun,Miaomeitsun,03,,25.0027778,121.5019444
tw,miaonan,Miaonan,04,,23.0,120.2666667
tw,miaopei,Miaopei,04,,23.0166667,120.2666667
tw,miaopu,Miaopu,04,,24.3166667,121.3
tw,miaoshanssu,Miaoshanssu,04,,24.9333333,121.1666667
tw,michantsun,Michantsun,04,,23.8,121.5166667
tw,michih,Michih,04,,23.2,120.5
tw,mienchienlun,Mienchienlun,04,,23.9166667,120.4333333
tw,mienchienpu,Mienchienpu,04,,22.7666667,120.3666667
tw,mienchientso,Mienchientso,04,,23.75,120.35
tw,mienpenliao,Mienpenliao,04,,24.7166667,121.05
tw,mientungliao,Mientungliao,04,,25.15,121.6666667
tw,mientuyushe,Mientuyushe,04,,24.5833333,121.1
tw,mientzupu,Mientzupu,04,,24.5333333,120.85
tw,mienyueh,Mienyüeh,04,,23.55,120.8
tw,mifenkuan,Mifenkuan,04,,23.6166667,120.4
tw,mifenkung,Mifenkung,04,,23.6166667,120.4
tw,mifenliao,Mifenliao,04,,24.0,120.6833333
tw,mihsiao,Mihsiao,04,,23.1333333,120.7166667
tw,mihsiaoshe,Mihsiaoshe,04,,23.1333333,120.7166667
tw,mikou,Mikou,04,,25.15,121.4333333
tw,mili,Mili,04,,22.8222222,120.4913889
tw,militsun,Militsun,04,,22.8222222,120.4913889
tw,militu,Militu,04,,22.8222222,120.4913889
tw,milo,Milo,04,,24.4333333,121.3833333
tw,milun,Milun,04,,22.4833333,120.5166667
tw,miluntsun,Miluntsun,04,,22.4833333,120.5166667
tw,mimoteng,Mimoteng,04,,24.4333333,121.35
tw,minchengli,Minchengli,04,,24.1666667,120.75
tw,mincheng,Mincheng,04,,24.1666667,120.75
tw,minchingli,Minchingli,04,,23.8833333,120.4
tw,minching,Minching,04,,23.8833333,120.4166667
tw,minchingtsun,Minchingtsun,04,,23.8833333,120.4166667
tw,minchuanhsintsun,Minchüanhsintsun,04,,23.9,120.6666667
tw,minchuan,Minchüan,04,,23.2508333,120.7055556
tw,minchuantsun,Minchüantsun,04,,23.2227778,120.6930556
tw,mingchengli,Mingchengli,04,,24.3166667,120.7833333
tw,mingchien,Mingchien,04,,23.8372222,120.7030556
tw,mingchihtsun,Mingchihtsun,04,,25.0441667,121.4241667
tw,mingchuantsun,Mingchüantsun,04,,23.2227778,120.6930556
